date,nav_value,shares
2024-08-30,130.373076,103450000
2024-08-29,129.401741,103450000
2024-08-28,128.928561,103450000
2024-08-27,129.310142,103450000
2024-08-26,129.485169,103150000
2024-08-23,129.536267,103450000
2024-08-22,127.419409,103450000
2024-08-21,127.764339,103450000
2024-08-20,126.555477,103450000
2024-08-19,127.303324,103450000
2024-08-16,126.26842,103650000
2024-08-15,125.973535,103650000
2024-08-14,124.301868,103650000
2024-08-13,124.170794,103650000
2024-08-12,122.789869,103650000
2024-08-09,123.541812,103550000
2024-08-08,123.360639,103550000
2024-08-07,121.126501,103450000
2024-08-06,122.058376,103450000
2024-08-05,120.77953,103450000
2024-08-02,123.912079,103450000
2024-08-01,126.463354,104100000
2024-07-31,127.974089,104200000
2024-07-30,127.640921,104200000
2024-07-29,126.920505,104000000
2024-07-26,126.744675,103250000
2024-07-25,124.741293,103150000
2024-07-24,124.073674,103200000
2024-07-23,125.797334,103200000
2024-07-22,126.129082,103200000
2024-07-19,124.912233,104050000
2024-07-18,125.739574,104200000
2024-07-17,126.713399,104200000
2024-07-16,127.20822,104200000
2024-07-15,124.579849,104200000
2024-07-12,124.188581,104200000
2024-07-11,123.078005,104250000
2024-07-10,120.803709,104250000
2024-07-09,119.588272,104250000
2024-07-08,119.889194,104250000
2024-07-05,119.538082,104250000
2024-07-03,120.038235,104250000
2024-07-02,119.939877,104250000
2024-07-01,119.548108,104250000
2024-06-28,120.704082,117650000
2024-06-27,120.343466,117650000
2024-06-26,120.108909,104250000
2024-06-25,120.70252,104350000
2024-06-24,121.718729,104350000
2024-06-21,120.93384,104350000
2024-06-20,120.847965,104350000
2024-06-18,120.936951,103350000
2024-06-17,120.538913,103350000
2024-06-14,119.838322,103350000
2024-06-13,121.143908,103350000
2024-06-12,121.686867,103350000
2024-06-11,120.576425,103350000
2024-06-10,121.564694,103350000
2024-06-07,121.04803,103350000
2024-06-06,121.743946,103550000
2024-06-05,122.276466,103550000
2024-06-04,121.306262,103550000
2024-06-03,122.204319,103550000
2024-05-31,123.0829,103550000
2024-05-30,121.70561,103800000
2024-05-29,120.620752,103800000
2024-05-28,122.190141,103800000
2024-05-24,123.137359,103800000
2024-05-23,122.035554,103800000
2024-05-22,123.786792,103800000
2024-05-21,124.502461,103800000
2024-05-20,124.529994,103800000
2024-05-17,124.471213,103800000
2024-05-16,124.259527,103800000
2024-05-15,125.052413,103750000
2024-05-14,124.047483,103750000
2024-05-13,123.273904,103750000
2024-05-10,123.418865,104750000
2024-05-09,123.424231,104700000
2024-05-08,122.214685,104500000
2024-05-07,122.211176,104500000
2024-05-06,122.043941,104500000
2024-05-03,120.725022,104500000
2024-05-02,119.788479,104450000
2024-05-01,118.722071,104400000
2024-04-30,118.840946,104400000
2024-04-29,120.832937,104550000
2024-04-26,120.011847,104550000
2024-04-25,119.798812,104550000
2024-04-24,120.038339,104550000
2024-04-23,119.908464,107900000
2024-04-22,118.735209,111400000
2024-04-19,117.712121,111400000
2024-04-18,117.323341,111400000
2024-04-17,117.379802,111450000
2024-04-16,117.706872,111450000
2024-04-15,118.570203,111950000
2024-04-12,119.909717,112300000
2024-04-11,121.799669,112300000
2024-04-10,121.888167,112300000
2024-04-09,124.172346,112300000
2024-04-08,123.924674,112300000
2024-04-05,123.433618,112650000
2024-04-04,122.46587,112650000
2024-04-03,123.755251,112650000
2024-04-02,123.296364,112650000
2024-04-01,124.461039,112650000
2024-03-31,125.424951,112650000
2024-03-29,125.424951,112650000
2024-03-28,125.424951,112650000
2024-03-27,124.810024,112750000
2024-03-26,122.746488,112750000
2024-03-25,122.89851,112750000
2024-03-22,122.981142,111900000
2024-03-21,123.862987,111900000
2024-03-20,123.081959,112000000
2024-03-19,121.702051,111950000
2024-03-18,120.996372,112400000
2024-03-15,120.852662,112400000
2024-03-14,120.718816,112150000
2024-03-13,122.108776,112200000
2024-03-12,121.980054,112200000
2024-03-11,121.743852,112200000
2024-03-08,121.742932,112550000
2024-03-07,121.97719,112550000
2024-03-06,120.965602,112750000
2024-03-05,120.157408,113250000
2024-03-04,120.802942,113400000
2024-03-01,120.35979,113300000
2024-02-29,119.65285,113250000
2024-02-28,118.817264,113100000
2024-02-27,118.790708,113100000
2024-02-26,118.13427,113100000
2024-02-23,118.456862,112600000
2024-02-22,118.132203,112450000
2024-02-21,117.029617,112000000
2024-02-20,116.652569,112000000
2024-02-16,117.070691,112000000
2024-02-15,117.777688,111700000
2024-02-14,116.148741,111600000
2024-02-13,114.641668,111650000
2024-02-12,117.023314,111350000
2024-02-09,116.080288,111350000
2024-02-08,115.775391,111350000
2024-02-07,115.297062,111400000
2024-02-06,114.891129,111400000
2024-02-05,114.132684,111400000
2024-02-02,115.432912,111350000
2024-02-01,115.603352,111600000
2024-01-31,114.215608,111700000
2024-01-30,115.879413,112000000
2024-01-29,115.952482,112200000
2024-01-26,115.135049,111950000
2024-01-25,115.033882,112050000
2024-01-24,113.88393,112200000
2024-01-23,114.656956,112200000
2024-01-22,114.817512,112350000
2024-01-19,113.936993,112400000
