date,nav_value,shares
2024-08-30,321.3239,46150000
2024-08-29,318.169264,46150000
2024-08-28,317.886631,46150000
2024-08-27,319.858756,46150000
2024-08-26,319.548302,46150000
2024-08-23,320.519685,46150000
2024-08-22,316.348613,46150000
2024-08-21,319.190725,46150000
2024-08-20,317.478224,46150000
2024-08-19,318.388837,46150000
2024-08-16,315.277932,46150000
2024-08-15,314.607263,46150000
2024-08-14,309.332947,46150000
2024-08-13,308.304033,46150000
2024-08-12,303.210778,46150000
2024-08-09,303.484226,46150000
2024-08-08,302.136438,46050000
2024-08-07,295.190301,46050000
2024-08-06,297.581801,46050000
2024-08-05,294.492882,46050000
2024-08-02,303.554239,46050000
2024-08-01,309.79275,46050000
2024-07-31,314.522291,46050000
2024-07-30,309.995358,46050000
2024-07-29,311.267973,46050000
2024-07-26,311.228402,46050000
2024-07-25,307.638257,46050000
2024-07-24,308.596741,46050000
2024-07-23,315.975967,46050000
2024-07-22,316.139881,46050000
2024-07-19,312.694976,46100000
2024-07-18,314.716898,46100000
2024-07-17,317.516988,46100000
2024-07-16,322.044948,46100000
2024-07-15,319.220347,46100000
2024-07-12,317.949369,46100000
2024-07-11,316.041709,46100000
2024-07-10,317.540087,46100000
2024-07-09,314.388331,46100000
2024-07-08,314.397254,46100000
2024-07-05,314.010307,46100000
2024-07-03,312.584101,46100000
2024-07-02,311.10626,46100000
2024-07-01,309.331616,46200000
2024-06-28,308.836159,46200000
2024-06-27,309.76349,46200000
2024-06-26,309.251434,46200000
2024-06-25,308.881697,46200000
2024-06-24,308.021856,46100000
2024-06-21,308.617212,46100000
2024-06-20,308.912174,46200000
2024-06-18,309.650421,45900000
2024-06-17,308.927862,45950000
2024-06-14,306.586256,45900000
2024-06-13,307.061648,45950000
2024-06-12,306.839028,45950000
2024-06-11,304.04053,45700000
2024-06-10,304.176745,45700000
2024-06-07,303.286683,45700000
2024-06-06,303.889657,45700000
2024-06-05,304.087412,45700000
2024-06-04,300.478092,45700000
2024-06-03,300.486917,45700000
2024-05-31,300.373226,45700000
2024-05-30,298.107113,45700000
2024-05-29,299.429306,45850000
2024-05-28,301.84436,45850000
2024-05-24,302.010588,45850000
2024-05-23,299.854024,45850000
2024-05-22,302.405663,45850000
2024-05-21,303.419129,45850000
2024-05-20,302.865806,45850000
2024-05-17,302.493228,45850000
2024-05-16,302.125727,45850000
2024-05-15,302.887297,45800000
2024-05-14,299.376581,45800000
2024-05-13,297.706377,45800000
2024-05-10,297.775787,45800000
2024-05-09,297.436661,45800000
2024-05-08,295.731049,45600000
2024-05-07,295.923147,45600000
