date,nav_value,shares,Non-FV NAV
2024-08-30,41.949892,51300000,41.932648
2024-08-29,42.015815,51300000,41.96857
2024-08-28,41.62499,51300000,41.660119
2024-08-27,41.941046,51300000,41.949012
2024-08-26,42.217591,51300000,42.182437
2024-08-23,41.731652,51300000,41.682229
2024-08-22,41.083877,51300000,41.096983
2024-08-21,41.045009,51300000,41.075963
2024-08-20,41.06039,51300000,41.10303
2024-08-19,41.972888,51300000,42.016696
2024-08-16,41.737698,51300000,41.688412
2024-08-15,41.698401,51300000,41.713356
2024-08-14,41.275928,51300000,41.289659
2024-08-13,41.048005,51300000,40.999873
2024-08-12,41.236994,51300000,41.231569
2024-08-09,40.920632,51900000,40.906775
2024-08-08,40.785168,51900000,40.723541
2024-08-07,40.059851,51900000,40.129331
2024-08-06,39.738841,51900000,39.726201
2024-08-05,39.629962,52200000,39.592904
2024-08-02,40.419948,52200000,40.453754
2024-08-01,41.28208,52950000,41.32616
2024-07-31,42.182465,52950000,42.182211
2024-07-30,41.768374,52950000,41.722077
2024-07-29,41.376273,52950000,41.35542
2024-07-26,41.684598,52500000,41.63699
2024-07-25,41.526642,52500000,41.473398
2024-07-24,41.148387,52500000,41.212998
2024-07-23,41.124198,52500000,41.126572
2024-07-22,41.74784,52500000,41.751945
2024-07-19,41.882966,52500000,41.921816
2024-07-18,42.371317,53250000,42.457477
2024-07-17,42.282835,53400000,42.287316
2024-07-16,41.97376,53400000,41.921067
2024-07-15,41.983473,53400000,42.003632
2024-07-12,41.61371,54450000,41.60888
2024-07-11,41.496396,54600000,41.492055
2024-07-10,41.160023,55050000,41.150491
2024-07-09,40.883138,56250000,40.894475
2024-07-08,41.316895,56250000,41.342703
2024-07-05,41.603895,56250000,41.598828
2024-07-03,41.984438,56250000,41.979447
2024-07-02,41.760748,56250000,41.75732
2024-07-01,41.606048,56700000,41.618715
2024-06-28,41.540432,56700000,41.528814
2024-06-27,41.377668,56700000,41.365953
2024-06-26,41.190849,57000000,41.195027
2024-06-25,41.540811,57000000,41.506834
2024-06-24,41.488299,57000000,41.437269
2024-06-21,40.532796,57750000,40.549102
2024-06-20,40.799136,58200000,40.808836
2024-06-18,40.220314,58200000,40.225105
2024-06-17,39.958504,58200000,39.919908
2024-06-14,39.893891,58350000,39.88158
2024-06-13,40.255515,61650000,40.259015
2024-06-12,40.742474,63000000,40.804809
2024-06-11,40.985982,63900000,40.960611
2024-06-10,42.086789,64650000,42.044271
2024-06-07,41.737165,76350000,41.791245
2024-06-06,42.118871,82350000,42.068898
2024-06-05,41.862903,82350000,41.824377
2024-06-04,41.867943,82350000,41.839508
2024-06-03,42.384451,82350000,42.45352
2024-05-31,43.420339,82200000,43.348199
2024-05-30,42.486949,82200000,42.481182
2024-05-29,42.395611,82200000,42.419425
2024-05-28,43.069227,82200000,43.054424
2024-05-24,42.590553,82200000,42.5937
2024-05-23,42.424436,82200000,42.510781
2024-05-22,42.742849,82200000,42.785926
2024-05-21,43.46274,82200000,43.505326
2024-05-20,43.598908,82200000,43.619267
