date,nav_value,shares,Non-FV NAV
2024-08-30,93.533881,4300000,93.519148
2024-08-29,92.912644,4300000,92.839059
2024-08-28,92.335755,4300000,92.448451
2024-08-27,92.28883,4300000,92.246155
2024-08-26,91.837108,4300000,91.913659
2024-08-23,91.791269,4300000,91.691449
2024-08-22,90.570368,4300000,90.673029
2024-08-21,90.513739,4200000,90.41558
2024-08-20,90.403646,4200000,90.510694
2024-08-19,90.760413,4200000,90.618561
2024-08-16,89.930637,4200000,89.848773
2024-08-15,89.172927,4200000,89.002923
2024-08-14,88.1199,4200000,88.170517
2024-08-13,87.277771,4200000,87.055871
2024-08-12,86.168225,4200000,86.13488
2024-08-09,86.374958,4200000,86.313074
2024-08-08,85.920076,4150000,85.698426
2024-08-07,84.544992,4150000,84.867253
2024-08-06,84.262721,4150000,84.191336
2024-08-05,83.522798,4150000,83.32721
2024-08-02,85.953789,4150000,86.105437
2024-08-01,88.209849,4150000,88.582825
2024-07-31,90.073561,4150000,90.093694
2024-07-30,89.765805,4150000,89.702353
2024-07-29,88.959863,4150000,88.976649
2024-07-26,89.145045,4150000,88.993681
2024-07-25,88.040439,4150000,88.074887
2024-07-24,88.079909,4150000,88.355424
2024-07-23,89.146525,4150000,89.158806
2024-07-22,89.156565,4150000,89.030766
2024-07-19,88.462944,4150000,88.545904
2024-07-18,89.189258,4150000,89.435051
2024-07-17,90.080283,4150000,90.162238
2024-07-16,89.666263,4150000,89.469664
2024-07-15,88.852876,4150000,88.970287
2024-07-12,88.325821,4150000,88.368084
2024-07-11,87.943387,4150000,88.05819
2024-07-10,87.361288,4150000,87.201196
2024-07-09,86.61372,4150000,86.58452
2024-07-08,86.333958,4250000,86.387003
2024-07-05,86.548577,4250000,86.480136
2024-07-03,86.530129,4250000,86.470856
2024-07-02,86.246653,4300000,86.123483
2024-07-01,85.509064,4300000,85.502252
2024-06-28,85.163611,4300000,85.176337
2024-06-27,84.847713,4300000,84.828204
2024-06-26,84.878627,4300000,84.941988
2024-06-25,85.377675,4300000,85.383414
2024-06-24,85.758041,4300000,85.748798
2024-06-21,84.840704,4300000,84.837093
2024-06-20,85.278346,4400000,85.295626
2024-06-18,84.851009,4400000,84.770405
2024-06-17,84.306866,4400000,84.100956
2024-06-14,83.63819,4500000,83.64513
2024-06-13,84.154771,4500000,84.191195
2024-06-12,84.859467,4500000,84.979943
2024-06-11,84.474436,4500000,84.473119
2024-06-10,87.077811,4500000,87.019418
2024-06-07,87.338119,4500000,87.441775
2024-06-06,87.562409,4500000,87.491896
2024-06-05,87.35724,4500000,87.194836
2024-06-04,87.149774,4500000,87.165143
2024-06-03,87.747233,4500000,87.742992
2024-05-31,87.884645,4500000,87.737813
2024-05-30,86.841457,4500000,86.779433
2024-05-29,86.082091,4500000,86.170348
2024-05-28,87.150112,4500000,87.250603
2024-05-24,87.624278,4500000,87.563769
2024-05-23,86.949066,4500000,87.201992
2024-05-22,87.968499,4500000,88.097319
2024-05-21,88.571672,4500000,88.577927
2024-05-20,88.337027,4500000,88.392517
2024-05-17,89.000528,4650000,88.93995
2024-05-16,88.366725,4650000,88.427911
2024-05-15,88.33214,4650000,88.159309
2024-05-14,87.650138,4650000,87.569148
2024-05-13,87.267559,4650000,87.311505
2024-05-10,87.424057,4650000,87.396126
2024-05-09,86.909328,4650000,86.768269
2024-05-08,86.318139,4650000,86.27206
2024-05-07,86.113472,4650000,86.189354
2024-05-06,85.799175,4650000,85.679935
2024-05-03,84.829846,4650000,84.770193
2024-05-02,84.434573,4650000,84.261936
2024-05-01,83.711577,4650000,83.802042
2024-04-30,83.669555,4650000,83.881513
2024-04-29,84.571329,4650000,84.516357
2024-04-26,84.428211,4650000,84.352768
2024-04-25,84.348527,4650000,84.283572
2024-04-24,84.6693,4650000,84.669989
2024-04-23,84.952025,4650000,84.880612
2024-04-22,84.130581,4650000,83.99632
2024-04-19,83.017578,4650000,83.013543
2024-04-18,82.312635,4650000,82.442856
2024-04-17,81.924726,4650000,81.873478
2024-04-16,81.645166,4650000,81.652909
2024-04-15,82.544062,4650000,82.731349
2024-04-12,82.892875,4650000,83.0838
2024-04-11,84.202779,4650000,84.100439
2024-04-10,84.629016,4650000,84.753704
2024-04-09,85.933757,4650000,85.902324
2024-04-08,86.277283,4650000,86.245964
2024-04-05,85.877652,4650000,85.799911
2024-04-04,85.364047,4650000,85.710021
2024-04-03,86.015084,4650000,85.935859
2024-04-02,85.794827,4650000,85.811594
2024-04-01,86.027545,4650000,86.014151
2024-03-31,86.649408,4650000,--
2024-03-29,86.649408,4650000,--
2024-03-28,86.649408,4650000,86.649933
2024-03-27,86.45733,4650000,86.35061
2024-03-26,85.631815,4650000,85.695963
2024-03-25,85.429693,4650000,85.472368
2024-03-22,85.593522,4650000,85.650916
2024-03-21,86.381963,4650000,86.40697
2024-03-20,85.799177,4650000,85.439633
2024-03-19,84.853545,4650000,84.827183
2024-03-18,84.572236,4650000,84.621026
2024-03-15,84.392018,4650000,84.381098
2024-03-14,84.329437,4650000,84.417265
2024-03-13,85.120908,4650000,85.114426
2024-03-12,84.720896,4650000,84.654787
2024-03-11,84.206595,4650000,84.192243
2024-03-08,84.20904,4650000,84.373805
2024-03-07,84.024695,4650000,83.942549
2024-03-06,83.662061,4650000,83.63809
2024-03-05,83.021359,4650000,83.110736
2024-03-04,82.916556,4650000,82.955529
2024-03-01,82.855608,4650000,82.814496
2024-02-29,82.704443,4650000,82.712289
2024-02-28,82.549404,4650000,82.551828
2024-02-27,82.549863,4650000,82.524737
2024-02-26,82.268907,4650000,82.273764
2024-02-23,82.573794,4650000,82.533198
2024-02-22,82.317668,4650000,82.232191
2024-02-21,81.411019,4650000,81.363381
2024-02-20,81.354569,4650000,81.418753
2024-02-16,81.211164,4650000,81.252772
2024-02-15,81.201118,4650000,81.054493
2024-02-14,79.980631,4650000,79.850851
2024-02-13,79.183851,4700000,79.302663
2024-02-12,80.241997,4700000,80.135548
2024-02-09,79.854926,4700000,79.765825
2024-02-08,79.611275,4700000,79.567777
2024-02-07,79.883099,4700000,79.847201
2024-02-06,79.640307,4700000,79.570327
2024-02-05,79.271129,4700000,79.221733
2024-02-02,79.728781,4700000,79.736617
2024-02-01,79.690108,4700000,79.500961
2024-01-31,79.578103,4700000,79.88792
2024-01-30,80.322576,4700000,80.257775
2024-01-29,79.74028,4700000,79.629209
2024-01-26,79.558414,4700000,79.515037
2024-01-25,79.319133,4700000,79.273827
2024-01-24,79.003689,4700000,79.095437
2024-01-23,78.436066,5650000,78.345297
2024-01-22,78.318041,5650000,78.336704
2024-01-19,78.036758,5650000,77.869998
2024-01-18,77.078446,5650000,76.926606
2024-01-17,76.747854,5650000,76.706022
2024-01-16,77.194884,5650000,77.241135
2024-01-12,77.957328,5650000,77.985389
2024-01-11,78.027651,5650000,77.917893
2024-01-10,78.364476,5650000,78.312504
2024-01-09,78.268638,5600000,78.29518
2024-01-08,79.046644,5600000,78.893979
2024-01-05,78.500636,5600000,78.59564
2024-01-04,78.034805,5600000,78.103205
2024-01-03,77.736657,5600000,77.704844
2024-01-02,78.423259,5600000,78.506358
2023-12-29,78.621139,5600000,78.655088
2023-12-28,78.659798,5600000,78.799058
2023-12-27,78.562696,5600000,78.52982
2023-12-26,78.188472,5600000,78.086249
2023-12-22,77.897506,5600000,77.872901
2023-12-21,77.631892,5600000,77.544369
2023-12-20,76.768691,5600000,77.113092
2023-12-19,78.857813,5600000,78.806078
2023-12-18,78.161779,5600000,78.152252
2023-12-15,78.02253,5600000,78.211321
2023-12-14,78.57425,5600000,78.519695
2023-12-13,77.920366,5600000,77.521983
2023-12-12,76.680225,5600000,76.627913
2023-12-11,76.359172,5600000,76.301826
2023-12-08,76.025707,5600000,76.00055
2023-12-07,75.650164,5600000,75.633455
2023-12-06,75.260676,5600000,75.438023
2023-12-05,75.3681,5600000,75.398992
2023-12-04,75.719927,5600000,75.699575
2023-12-01,75.927653,5600000,75.753331
2023-11-30,75.319116,5600000,75.348738
2023-11-29,74.755651,5600000,74.765796
2023-11-28,74.479222,5600000,74.475121
2023-11-27,74.442948,5600000,74.410617
2023-11-24,74.674073,5600000,74.641223
2023-11-22,74.247032,5600000,74.202025
2023-11-21,74.104616,5600000,74.172318
2023-11-20,74.353886,5600000,74.291706
2023-11-17,73.973579,5600000,73.890938
2023-11-16,73.306035,5600000,73.364268
2023-11-15,73.281158,5600000,73.337339
2023-11-14,73.061203,5600000,72.829897
2023-11-13,71.423673,5600000,71.35916
2023-11-10,71.341571,5600000,71.17419
2023-11-09,70.705333,5600000,70.940851
2023-11-08,70.842735,5600000,70.81906
2023-11-07,70.934558,5600000,70.912961
2023-11-06,71.259285,5600000,71.333626
2023-11-03,71.529234,5600000,71.464397
2023-11-02,70.529853,5600000,70.341223
2023-11-01,69.03183,5600000,68.879564
2023-10-31,68.466171,5600000,68.352689
2023-10-30,68.05146,5600000,67.96984
2023-10-27,67.089182,5700000,67.279329
2023-10-26,67.970657,5700000,67.997769
2023-10-25,68.109611,5700000,68.205826
2023-10-24,68.438215,5700000,68.363795
2023-10-23,68.196719,5700000,68.247174
2023-10-20,68.430044,5700000,68.532474
2023-10-19,69.487476,5700000,69.551791
2023-10-18,70.254877,5700000,70.410569
2023-10-17,71.38222,5700000,71.350814
2023-10-16,71.135251,5700000,71.028552
2023-10-13,70.381522,5700000,70.443315
2023-10-12,70.677902,5700000,70.848993
2023-10-11,71.211185,5700000,71.189464
2023-10-10,70.960452,5700000,70.925169
2023-10-09,70.220056,5700000,70.047251
2023-10-06,70.31422,5700000,70.092385
2023-10-05,69.51563,5700000,69.410094
2023-10-04,69.018279,5700000,68.882094
2023-10-03,68.679303,5700000,68.735829
2023-10-02,69.713379,5700000,69.831328
2023-09-29,70.529553,5700000,70.703715
2023-09-28,71.077939,5700000,71.021198
2023-09-27,70.484646,5700000,70.514739
2023-09-26,70.67755,5700000,70.80291
2023-09-25,71.50421,5700000,71.42872
2023-09-22,71.633394,5700000,71.760761
2023-09-21,71.908852,5700000,72.05044
2023-09-20,72.960984,5800000,73.183156
2023-09-19,73.278193,5800000,73.288807
2023-09-18,73.151661,5800000,73.133199
2023-09-15,73.176658,5800000,73.25849
2023-09-14,73.48601,5800000,73.42539
2023-09-13,72.691599,5800000,72.733819
2023-09-12,72.591289,5800000,72.550986
2023-09-11,72.192875,5800000,72.166708
2023-09-08,71.489899,5800000,71.539552
2023-09-07,71.384566,5800000,71.43618
2023-09-06,71.656453,5800000,71.640719
2023-09-05,71.87428,5800000,71.904367
2023-09-01,72.544576,5800000,72.533733
2023-08-31,72.147744,5800000,72.212902
2023-08-30,72.516578,5800000,72.545427
2023-08-29,72.445789,5800000,72.238318
2023-08-28,71.604774,5800000,71.506828
2023-08-25,70.972303,5800000,70.843004
2023-08-24,70.822029,5800000,71.013436
2023-08-23,71.156661,5800000,71.090527
2023-08-22,70.434608,5800000,70.525704
2023-08-21,70.876435,5800000,70.780431
2023-08-18,70.953492,5800000,70.981339
2023-08-17,71.134403,5800000,71.260046
2023-08-16,71.595804,5800000,71.773878
2023-08-15,71.970729,5800000,72.170693
2023-08-14,73.179976,5800000,73.155451
2023-08-11,73.429209,5800000,73.499964
2023-08-10,73.532005,5800000,73.704831
2023-08-09,73.222069,5800000,73.246058
2023-08-08,73.522952,5800000,73.417225
2023-08-07,74.372077,5800000,74.300289
2023-08-04,73.586465,5800000,73.758676
2023-08-03,73.626451,5800000,73.568575
2023-08-02,73.553805,5800000,73.588826
2023-08-01,74.675932,5800000,74.72788
2023-07-31,75.140872,5800000,75.174415
2023-07-28,74.930704,5800000,74.957568
2023-07-27,74.442492,5800000,74.620123
2023-07-26,75.174963,5800000,75.080641
2023-07-25,74.718357,5800000,74.727652
2023-07-24,74.930769,5800000,74.882371
2023-07-21,74.518724,5800000,74.504147
2023-07-20,74.668749,5800000,74.671863
2023-07-19,74.394517,5800000,74.355192
2023-07-18,74.161514,5800000,74.154129
2023-07-17,73.48993,5800000,73.489018
2023-07-14,72.937178,5800000,73.054214
2023-07-13,73.416751,5800000,73.330565
2023-07-12,72.717579,5800000,72.693638
2023-07-11,71.872289,5800000,71.740627
2023-07-10,71.119145,5950000,71.040338
2023-07-07,70.941181,5950000,70.8633
2023-07-06,70.590462,5950000,70.5731
2023-07-05,71.611979,5950000,71.68135
2023-07-03,72.042969,5950000,72.043023
2023-06-30,71.627436,5950000,71.568924
2023-06-29,70.927331,5950000,70.920082
2023-06-28,70.137833,5950000,70.108182
2023-06-27,70.250584,5950000,70.170323
2023-06-26,69.614244,5950000,69.606624
2023-06-23,69.582211,5950000,69.616075
2023-06-22,70.230389,5950000,70.227707
2023-06-21,70.784819,5950000,70.751968
2023-06-20,70.813436,5950000,70.810574
2023-06-16,71.343977,5950000,71.381328
2023-06-15,71.485751,5950000,71.355242
2023-06-14,70.652124,5950000,70.782496
2023-06-13,70.617526,5950000,70.610012
2023-06-12,70.162183,5950000,70.103966
2023-06-09,70.173418,5950000,70.192255
2023-06-08,70.239858,5950000,70.153273
2023-06-07,69.992573,5950000,70.032302
2023-06-06,71.137315,5950000,71.023464
2023-06-05,70.340409,5950000,70.373733
2023-06-02,70.702478,5950000,70.625188
2023-06-01,69.364418,5950000,69.202345
2023-05-31,68.440468,5950000,68.341199
2023-05-30,69.250973,5950000,69.266345
2023-05-26,69.450067,5950000,69.329442
2023-05-25,68.912115,5950000,68.916058
2023-05-24,69.072767,5850000,69.157874
2023-05-23,70.131045,5850000,70.287268
2023-05-22,70.837321,5850000,70.7907
2023-05-19,70.639346,5850000,70.593333
2023-05-18,70.685602,5850000,70.591701
2023-05-17,70.452676,5850000,70.253648
2023-05-16,69.477714,5850000,69.577949
2023-05-15,70.28301,5850000,70.161891
2023-05-12,69.529255,5850000,69.562888
2023-05-11,69.910816,5850000,69.893235
2023-05-10,70.059635,5850000,70.054362
2023-05-09,70.405209,5850000,70.379915
2023-05-08,70.692877,5850000,70.714841
2023-05-05,70.465172,5850000,70.358157
2023-05-04,68.90695,5850000,68.924578
2023-05-03,69.533793,5850000,69.652084
2023-05-02,70.076003,5850000,70.072065
2023-05-01,71.396282,5850000,71.372724
2023-04-28,71.571258,5850000,71.497392
2023-04-27,71.103318,5850000,70.921662
2023-04-26,70.021742,5850000,70.133761
2023-04-25,70.317526,5850000,70.492848
2023-04-24,71.61973,5850000,71.574666
2023-04-21,71.658426,6000000,71.580523
2023-04-20,71.909746,6000000,71.978228
2023-04-19,72.073186,6000000,72.061144
2023-04-18,71.925559,6000000,71.894007
2023-04-17,71.550113,6150000,71.450425
2023-04-14,71.248078,6150000,71.261109
2023-04-13,70.765793,6150000,70.673628
2023-04-12,70.089077,6150000,70.110457
2023-04-11,69.990455,6150000,69.945303
2023-04-10,69.429032,6150000,69.260616
2023-04-06,69.359735,6150000,69.290935
2023-04-05,69.007088,6150000,68.987372
2023-04-04,69.162747,6150000,69.190671
2023-04-03,69.506787,6150000,69.424639
2023-03-31,69.163718,6400000,69.139468
2023-03-30,68.664142,6400000,68.648291
2023-03-29,68.453036,6400000,68.358316
2023-03-28,67.46824,6400000,67.435235
2023-03-27,67.277008,6400000,67.16251
2023-03-24,66.574305,6400000,66.48161
2023-03-23,66.866531,6400000,67.118826
2023-03-22,67.3243,6450000,67.434435
2023-03-21,68.308096,6950000,68.188138
2023-03-20,66.710796,6950000,66.610133
2023-03-17,65.902389,7150000,66.039603
2023-03-16,67.598228,7250000,67.452777
2023-03-15,66.637194,7250000,66.638471
2023-03-14,68.893247,7250000,68.776273
2023-03-13,67.966687,7350000,68.168565
2023-03-10,70.075145,7350000,70.413813
2023-03-09,71.587748,7350000,71.899394
2023-03-08,73.502974,7350000,73.533045
2023-03-07,73.596247,7350000,73.797182
2023-03-06,75.212448,7350000,75.232982
2023-03-03,75.101531,7350000,74.883547
2023-03-02,74.083385,7350000,73.997661
2023-03-01,74.47537,7350000,74.471253
2023-02-28,74.513755,7350000,74.624272
2023-02-27,74.482277,7350000,74.455315
2023-02-24,74.052978,8050000,74.06848
2023-02-23,74.401484,8500000,74.363573
2023-02-22,74.250704,8500000,74.33741
2023-02-21,74.690008,8500000,74.883722
2023-02-17,75.744707,8500000,75.641737
2023-02-16,75.743589,8500000,75.784299
2023-02-15,76.124377,8500000,75.990221
2023-02-14,76.424993,8500000,76.344695
2023-02-13,76.608312,8500000,76.491902
2023-02-10,75.906076,8500000,75.890309
2023-02-09,75.873819,8500000,76.103966
2023-02-08,76.259443,8500000,76.333874
2023-02-07,76.48472,8500000,76.282048
2023-02-06,75.638096,8500000,75.575563
2023-02-03,76.088349,8300000,76.255178
2023-02-02,76.530489,8300000,76.625602
2023-02-01,76.739589,8300000,76.490935
2023-01-31,76.419559,8300000,76.268619
2023-01-30,75.704908,8300000,75.825457
2023-01-27,76.218247,8300000,76.150899
2023-01-26,76.196906,8300000,75.988514
2023-01-25,75.706721,8300000,75.502618
2023-01-24,75.14937,8300000,75.08697
2023-01-23,74.94834,8300000,74.83167
2023-01-20,74.454021,8300000,74.255595
2023-01-19,73.445057,8300000,73.299411
2023-01-18,73.927135,8000000,74.220761
2023-01-17,74.825245,8000000,74.812129
2023-01-13,75.19097,7900000,75.089845
2023-01-12,74.589263,7900000,74.427673
2023-01-11,73.786353,7650000,73.681205
2023-01-10,73.355012,7400000,73.235631
2023-01-09,73.050331,7400000,73.16257
