date,nav_value,shares,Non-FV NAV
2024-08-30,101.166559,43150000,101.145197
2024-08-29,100.626592,43150000,100.561509
2024-08-28,100.275924,43150000,100.324293
2024-08-27,100.2264,43150000,100.169334
2024-08-26,99.966209,43100000,100.010103
2024-08-23,100.228737,43100000,100.140877
2024-08-22,99.493717,43100000,99.548689
2024-08-21,99.464745,43100000,99.35831
2024-08-20,99.140426,43050000,99.184619
2024-08-19,98.799035,43050000,98.749756
2024-08-16,98.133655,43050000,98.113862
2024-08-15,98.013893,43050000,97.926116
2024-08-14,97.361401,43050000,97.388185
2024-08-13,96.905903,43050000,96.835192
2024-08-12,95.640208,43050000,95.632358
2024-08-09,96.129835,42950000,96.096605
2024-08-08,95.472881,42950000,95.302622
2024-08-07,93.401293,42950000,93.621984
2024-08-06,94.26918,42950000,94.292968
2024-08-05,93.800964,42950000,93.684374
2024-08-02,96.247759,42900000,96.221179
2024-08-01,96.627825,42900000,96.636829
2024-07-31,95.928999,42900000,95.962259
2024-07-30,95.89616,42900000,95.862066
2024-07-29,95.767811,43050000,95.772989
2024-07-26,95.536035,43200000,95.537395
2024-07-25,94.88373,43200000,94.924724
2024-07-24,95.283154,43200000,95.331213
2024-07-23,94.686194,43200000,94.712241
2024-07-22,94.835126,43150000,94.770576
2024-07-19,94.209208,43150000,94.227432
2024-07-18,93.833777,43150000,93.987619
2024-07-17,95.879056,43150000,95.874233
2024-07-16,95.460604,43150000,95.38666
2024-07-15,94.466577,43150000,94.580384
2024-07-12,94.940645,43150000,95.010738
2024-07-11,94.224184,43150000,94.347516
2024-07-10,93.62389,43150000,93.478826
2024-07-09,92.629134,43150000,92.589056
2024-07-08,92.398708,43150000,92.430004
2024-07-05,92.514626,43150000,92.384228
2024-07-03,91.592826,43150000,91.63981
2024-07-02,92.162317,43150000,92.143352
2024-07-01,92.482333,43150000,92.487465
2024-06-28,92.841905,43150000,92.938158
2024-06-27,92.980389,43150000,92.959791
2024-06-26,93.126566,43150000,93.221904
2024-06-25,93.64622,43150000,93.642912
2024-06-24,93.636446,43150000,93.64607
2024-06-21,93.028543,43150000,92.99659
2024-06-20,92.847877,43150000,92.900672
2024-06-18,92.596416,43150000,92.618305
2024-06-17,92.450746,43150000,92.396517
2024-06-14,92.681306,43150000,92.69058
2024-06-13,92.892176,43150000,92.819896
2024-06-12,93.07662,43150000,93.155716
2024-06-11,93.002521,42900000,92.968505
2024-06-10,94.160741,42900000,94.037583
2024-06-07,93.917922,43200000,93.973458
2024-06-06,94.021928,43200000,93.974412
2024-06-05,93.588937,43200000,93.374566
2024-06-04,93.045669,43200000,92.920009
2024-06-03,92.469105,43200000,92.472871
2024-05-31,92.031463,43200000,91.966276
2024-05-30,90.708848,43200000,90.71804
2024-05-29,90.475935,43200000,90.485234
2024-05-28,91.239412,43300000,91.293041
2024-05-24,92.301787,43300000,92.278908
2024-05-23,92.498861,43300000,92.638966
2024-05-22,93.291565,43300000,93.293204
2024-05-21,93.281209,43300000,93.302713
2024-05-20,93.134259,43300000,93.087056
2024-05-17,93.340753,43300000,93.304302
2024-05-16,93.286373,43300000,93.317714
2024-05-15,93.438441,43300000,93.325461
2024-05-14,92.180096,43300000,92.087237
2024-05-13,91.739826,43300000,91.787039
2024-05-10,91.556371,43300000,91.526444
2024-05-09,91.337493,43300000,91.204141
2024-05-08,90.580937,43300000,90.608949
2024-05-07,90.846143,43300000,90.851908
2024-05-06,90.118609,43300000,90.012952
2024-05-03,89.746884,43300000,89.718094
2024-05-02,89.492692,43300000,89.480041
2024-05-01,89.58835,43300000,89.587687
2024-04-30,89.338787,43300000,89.492302
2024-04-29,89.498679,43300000,89.476647
2024-04-26,89.097893,43300000,89.05928
2024-04-25,88.998456,43300000,88.932658
2024-04-24,89.302228,43300000,89.288116
2024-04-23,89.656861,43300000,89.611641
2024-04-22,88.460184,43300000,88.414944
2024-04-19,87.796134,43300000,87.81495
2024-04-18,87.444094,43300000,87.524911
2024-04-17,87.588926,43300000,87.557924
2024-04-16,87.762882,43400000,87.788063
2024-04-15,87.881332,43400000,88.03955
2024-04-12,88.075045,43400000,88.262599
2024-04-11,89.266957,43400000,89.186234
2024-04-10,89.499886,43500000,89.540029
2024-04-09,90.535821,43500000,90.497633
2024-04-08,90.320991,44150000,90.303291
2024-04-05,90.490724,44150000,90.438818
2024-04-04,89.917568,44150000,90.172612
2024-04-03,91.003817,44150000,90.994066
2024-04-02,90.964891,44150000,90.948271
2024-04-01,92.32445,44150000,92.368747
2024-03-31,93.102878,44150000,--
2024-03-29,93.102878,44150000,--
2024-03-28,93.102878,44150000,93.109483
2024-03-27,93.086053,44150000,93.050669
2024-03-26,92.071471,44250000,92.060382
2024-03-25,91.818716,44250000,91.840889
2024-03-22,91.927795,44250000,91.95262
2024-03-21,92.06229,44250000,92.094952
2024-03-20,92.070074,44250000,91.910608
2024-03-19,92.127827,44600000,92.095217
2024-03-18,91.776744,44600000,91.872191
2024-03-15,91.819779,44600000,91.802918
2024-03-14,92.298514,44600000,92.34652
2024-03-13,92.625515,44600000,92.654413
2024-03-12,93.105974,44600000,93.033328
2024-03-11,92.677439,44600000,92.664922
2024-03-08,92.649364,44600000,92.744295
2024-03-07,92.872708,44600000,92.807792
2024-03-06,91.920687,44600000,91.900323
2024-03-05,91.27965,44600000,91.333897
2024-03-04,91.932041,44600000,91.91258
2024-03-01,91.945364,44600000,91.853722
2024-02-29,90.892054,44600000,90.946149
2024-02-28,91.647096,44600000,91.609479
2024-02-27,92.118599,44600000,92.087627
2024-02-26,92.288503,44600000,92.277737
2024-02-23,92.609826,44600000,92.557448
2024-02-22,92.200868,44600000,92.095009
2024-02-21,91.156682,44600000,91.055217
2024-02-20,90.960233,45000000,91.078115
2024-02-16,91.183601,45000000,91.180293
2024-02-15,90.732583,45000000,90.712267
2024-02-14,90.168428,45000000,90.074948
2024-02-13,89.320725,45000000,89.401357
2024-02-12,90.198021,45000000,90.097141
2024-02-09,90.235886,45000000,90.192288
2024-02-08,90.120061,45000000,90.006962
2024-02-07,90.457459,45000000,90.50489
2024-02-06,90.336983,45000000,90.247024
2024-02-05,89.50969,45000000,89.433455
2024-02-02,89.180236,45000000,89.182916
2024-02-01,89.727853,45000000,89.540058
2024-01-31,88.803416,45000000,88.984293
2024-01-30,88.864072,45000000,88.810415
2024-01-29,88.761922,45000000,88.636207
2024-01-26,88.211398,45100000,88.172301
2024-01-25,87.619305,45100000,87.566509
2024-01-24,87.770518,46300000,87.913719
2024-01-23,88.395459,46300000,88.317294
2024-01-22,88.570117,46300000,88.591594
2024-01-19,88.246274,46300000,88.19283
2024-01-18,88.239268,46300000,88.054892
2024-01-17,88.179606,46300000,88.13681
2024-01-16,88.575895,46300000,88.609618
2024-01-12,89.336692,46300000,89.357938
2024-01-11,89.440701,46250000,89.350122
2024-01-10,89.635411,46550000,89.578316
2024-01-09,89.06275,46550000,89.064746
2024-01-08,89.086534,46550000,88.966636
2024-01-05,88.295725,46550000,88.403376
2024-01-04,88.389629,46450000,88.39115
2024-01-03,87.807661,46450000,87.697725
2024-01-02,87.749745,46350000,87.722757
2023-12-29,86.701632,46550000,86.7032
2023-12-28,86.574097,46550000,86.724963
2023-12-27,86.450946,46550000,86.388965
2023-12-26,85.886214,46850000,85.8988
2023-12-22,85.706698,46850000,85.732013
2023-12-21,85.400692,47100000,85.35733
2023-12-20,84.356209,47100000,84.603556
2023-12-19,86.01713,47100000,86.020052
2023-12-18,85.436361,47100000,85.423868
2023-12-15,85.093255,47100000,85.228583
2023-12-14,86.005939,47100000,86.031693
2023-12-13,86.225633,47100000,85.925184
2023-12-12,84.694005,47100000,84.621642
2023-12-11,84.376785,47100000,84.306368
2023-12-08,83.90088,47100000,83.89568
2023-12-07,83.740614,47800000,83.749664
2023-12-06,83.833184,47800000,83.940651
2023-12-05,83.851675,47750000,83.878756
2023-12-04,84.140538,47750000,84.090197
2023-12-01,84.073814,47750000,83.984009
2023-11-30,83.692508,47750000,83.702926
2023-11-29,82.901766,47650000,82.869545
2023-11-28,82.780518,47650000,82.783132
2023-11-27,83.260252,47650000,83.248383
2023-11-24,83.815598,47650000,83.806325
2023-11-22,83.2472,47650000,83.163116
2023-11-21,82.923168,47650000,82.965746
2023-11-20,82.549715,47650000,82.522836
