date,nav_value,shares,Non-FV NAV
2024-08-30,81.349061,63150000,81.305515
2024-08-29,80.452339,63150000,80.477785
2024-08-28,81.01061,62950000,81.129466
2024-08-27,81.990298,62950000,81.933216
2024-08-26,81.473102,62850000,81.585049
2024-08-23,82.585134,62850000,82.527814
2024-08-22,81.235667,62100000,81.450698
2024-08-21,83.083167,62100000,83.024086
2024-08-20,82.610406,62100000,82.697168
2024-08-19,83.026998,62100000,82.821523
2024-08-16,81.739618,62100000,81.717809
2024-08-15,81.568683,62100000,81.201787
2024-08-14,79.38575,61850000,79.394899
2024-08-13,79.014926,61850000,78.750874
2024-08-12,76.667552,61850000,76.580969
2024-08-09,76.084468,61850000,75.978048
2024-08-08,75.771871,61850000,75.341298
2024-08-07,73.073495,61850000,73.441837
2024-08-06,74.031059,62250000,74.039568
2024-08-05,72.893584,62100000,72.551592
2024-08-02,75.444318,61650000,75.693177
2024-08-01,77.69676,61650000,78.115232
2024-07-31,80.717969,61850000,80.511274
2024-07-30,77.288581,61850000,77.480985
2024-07-29,78.98157,61850000,79.101854
2024-07-26,79.374168,61850000,79.277124
2024-07-25,78.378526,62100000,78.692899
2024-07-24,79.327353,62100000,79.795479
2024-07-23,82.748916,62100000,82.792671
2024-07-22,82.823208,62100000,82.610871
2024-07-19,81.227488,62750000,81.384993
2024-07-18,82.450387,62750000,82.611781
2024-07-17,82.673245,62750000,83.050666
2024-07-16,86.284822,62750000,86.215783
2024-07-15,86.314521,62750000,86.422575
2024-07-12,86.290546,62750000,86.257423
2024-07-11,85.699421,62750000,85.980895
2024-07-10,87.805618,62750000,87.607403
2024-07-09,86.385906,62600000,86.451937
2024-07-08,86.444712,62600000,86.465161
2024-07-05,85.844256,62450000,85.784897
2024-07-03,85.36995,62450000,85.211235
2024-07-02,84.031639,62450000,83.891349
2024-07-01,83.591356,62100000,83.611509
2024-06-28,82.889637,62100000,82.963939
2024-06-27,83.027773,62100000,83.019371
2024-06-26,82.959576,62100000,83.037636
2024-06-25,82.822023,62100000,82.785372
2024-06-24,81.430112,61750000,81.555376
2024-06-21,83.155159,61750000,83.263473
2024-06-20,83.735787,61750000,83.932083
2024-06-18,84.752605,61150000,84.635044
2024-06-17,84.293926,61000000,84.106228
2024-06-14,83.280913,61000000,83.268435
2024-06-13,82.993757,60600000,83.024039
2024-06-12,82.247721,60450000,82.166669
2024-06-11,80.305338,60400000,80.235674
2024-06-10,79.429173,60400000,79.298696
2024-06-07,79.131407,60400000,79.166248
2024-06-06,79.098764,59950000,79.077304
2024-06-05,79.292937,59950000,79.041507
2024-06-04,77.184134,59950000,77.193903
2024-06-03,77.013392,59950000,77.012755
2024-05-31,76.36011,59950000,76.274402
2024-05-30,76.44414,59950000,76.393566
2024-05-29,78.07586,59700000,78.1603
2024-05-28,78.71457,59700000,78.696754
2024-05-24,77.955735,59700000,77.873165
2024-05-23,77.196129,59700000,77.363481
2024-05-22,77.053848,59700000,77.107396
2024-05-21,76.933024,59700000,76.933439
2024-05-20,76.847566,59700000,76.806103
2024-05-17,75.966622,59650000,75.954894
2024-05-16,76.207537,59650000,76.301313
2024-05-15,76.544693,59650000,76.344749
2024-05-14,74.908956,59650000,74.79192
2024-05-13,74.184439,59650000,74.198464
2024-05-10,73.94313,59650000,73.861933
2024-05-09,73.644718,59650000,73.559815
2024-05-08,73.79232,59650000,73.739428
2024-05-07,73.680966,59650000,73.740232
2024-05-06,73.888406,59650000,73.706826
2024-05-03,72.935098,59650000,72.788027
2024-05-02,70.958664,59650000,70.863241
2024-05-01,69.802238,59650000,70.036165
2024-04-30,70.535038,59650000,70.702351
2024-04-29,72.115164,59650000,72.07663
2024-04-26,71.887625,59750000,71.82283
2024-04-25,70.789696,59750000,70.667133
2024-04-24,70.858523,59750000,70.957637
2024-04-23,70.595926,59900000,70.468982
2024-04-22,69.478261,59900000,69.363995
2024-04-19,68.724916,60300000,68.835983
2024-04-18,70.712881,60300000,70.928744
2024-04-17,71.361644,60400000,71.449721
2024-04-16,72.528464,60400000,72.507368
2024-04-15,72.50589,60550000,72.681081
2024-04-12,73.858775,60550000,74.039013
2024-04-11,75.21563,60550000,75.098043
2024-04-10,73.740385,60550000,73.822798
2024-04-09,74.426148,60550000,74.429649
2024-04-08,74.181663,60550000,74.155744
2024-04-05,74.330405,60550000,74.263026
2024-04-04,73.448748,60550000,73.634698
2024-04-03,74.676853,60550000,74.561114
2024-04-02,74.51484,61450000,74.541868
2024-04-01,75.100585,61450000,74.970466
2024-03-31,74.877178,61450000,--
2024-03-29,74.877178,61450000,--
2024-03-28,74.877178,61450000,74.862234
2024-03-27,74.961327,61450000,74.968527
2024-03-26,74.782088,60900000,74.836341
2024-03-25,75.160572,60900000,75.183502
2024-03-22,75.586979,60900000,75.601554
2024-03-21,75.482986,60900000,75.527193
2024-03-20,75.168739,60900000,74.970629
2024-03-19,74.247499,60900000,74.207574
2024-03-18,73.849761,60900000,73.914667
2024-03-15,73.442643,60900000,73.448037
2024-03-14,74.530934,60900000,74.65642
2024-03-13,74.598274,60900000,74.647685
2024-03-12,75.366733,60900000,75.266898
2024-03-11,73.783502,60900000,73.888816
2024-03-08,74.197643,60900000,74.350971
2024-03-07,75.317236,60900000,75.139604
2024-03-06,74.004465,60900000,73.895993
2024-03-05,73.2688,60900000,73.381391
2024-03-04,74.992237,60900000,74.940769
2024-03-01,74.826199,60900000,74.62954
2024-02-29,73.565312,60900000,73.520011
2024-02-28,72.78129,60900000,72.831791
2024-02-27,73.1741,60900000,73.210763
2024-02-26,73.136309,60900000,73.101327
2024-02-23,73.055831,60900000,73.018244
2024-02-22,73.275334,60900000,73.158212
2024-02-21,70.861424,60900000,70.817649
2024-02-20,71.260877,60900000,71.275577
2024-02-16,71.984093,60900000,72.01532
2024-02-15,72.587345,60900000,72.508417
2024-02-14,72.619648,65000000,72.395749
2024-02-13,71.795718,65350000,71.755941
2024-02-12,73.086947,65350000,72.863306
2024-02-09,73.65582,65350000,73.3904
2024-02-08,72.714021,65350000,72.477153
2024-02-07,72.407334,65350000,72.249475
2024-02-06,71.449413,65350000,71.402367
2024-02-05,71.637633,65350000,71.588709
2024-02-02,71.458263,65350000,71.436935
2024-02-01,70.756893,65350000,70.682775
2024-01-31,69.869364,64700000,69.96655
2024-01-30,71.276469,64700000,71.308189
2024-01-29,71.836895,64700000,71.766437
2024-01-26,71.188558,62850000,71.174749
2024-01-25,71.865887,62850000,71.907154
2024-01-24,71.590645,62850000,71.556141
2024-01-23,70.970814,62600000,70.922575
2024-01-22,70.68473,62400000,70.678566
2024-01-19,70.447539,62400000,70.296544
2024-01-18,68.857203,62400000,68.647176
2024-01-17,67.399657,60500000,67.340226
2024-01-16,67.795225,60500000,67.775245
2024-01-12,67.805613,60500000,67.818401
2024-01-11,67.557716,60300000,67.531557
2024-01-10,67.300818,60300000,67.26214
2024-01-09,66.772051,60300000,66.768268
2024-01-08,66.7936,60500000,66.674418
2024-01-05,65.227243,60500000,65.245208
2024-01-04,65.205998,60500000,65.253663
2024-01-03,65.642949,60650000,65.701492
2024-01-02,66.429822,60650000,66.566631
2023-12-29,68.130487,60650000,68.171286
2023-12-28,68.345043,60500000,68.403867
2023-12-27,68.271057,60500000,68.275113
2023-12-26,68.121424,59350000,68.06601
2023-12-22,67.779676,59350000,67.75197
2023-12-21,67.707587,59350000,67.633854
2023-12-20,66.900776,59200000,67.1002
2023-12-19,68.125416,59100000,68.090484
2023-12-18,67.861088,59100000,67.851621
2023-12-15,67.814588,59100000,67.898099
2023-12-14,67.498768,59100000,67.454641
2023-12-13,67.516931,59100000,67.349561
2023-12-12,66.878627,59100000,66.832492
2023-12-11,66.416469,59100000,66.323817
2023-12-08,66.006089,59100000,65.965119
2023-12-07,65.475215,59100000,65.411201
2023-12-06,64.735607,59100000,64.811597
2023-12-05,65.213193,59100000,65.198261
2023-12-04,64.910128,58850000,64.934567
2023-12-01,65.706073,58850000,65.637393
2023-11-30,65.538826,58850000,65.572046
2023-11-29,65.50832,58850000,65.514557
2023-11-28,65.377602,58850000,65.396889
2023-11-27,65.188968,58850000,65.150581
2023-11-24,65.192682,58850000,65.190744
2023-11-22,65.331274,58750000,65.318666
2023-11-21,65.085186,58750000,65.158711
2023-11-20,65.591903,58750000,65.533117
2023-11-17,64.705801,58750000,64.691056
2023-11-16,64.749018,58750000,64.770423
2023-11-15,64.384216,58750000,64.422132
2023-11-14,64.227749,58750000,64.051398
2023-11-13,62.938326,58750000,62.893213
2023-11-10,63.298773,58750000,63.111944
2023-11-09,61.72988,58750000,61.836192
2023-11-08,62.023758,58650000,62.021741
2023-11-07,61.760516,58550000,61.722549
2023-11-06,61.193438,58550000,61.197775
2023-11-03,60.80114,58550000,60.691476
2023-11-02,60.14224,58700000,60.055779
2023-11-01,58.945847,58700000,58.830289
2023-10-31,57.834831,58700000,57.773204
2023-10-30,57.497565,58700000,57.498429
2023-10-27,56.83936,58850000,56.929964
2023-10-26,56.580516,58850000,56.599109
2023-10-25,57.652619,58850000,57.780624
2023-10-24,58.373112,58850000,58.322979
2023-10-23,57.971265,58850000,57.957309
2023-10-20,57.886281,58850000,57.93915
2023-10-19,58.820821,58750000,58.826631
2023-10-18,59.014536,58850000,59.0912
2023-10-17,59.741287,58850000,59.731657
2023-10-16,59.937497,58850000,59.862115
2023-10-13,59.425213,58850000,59.492786
2023-10-12,60.297411,58850000,60.368567
2023-10-11,60.209436,58850000,60.182212
2023-10-10,59.642574,58850000,59.583785
2023-10-09,59.466736,58850000,59.362665
2023-10-06,59.245011,58850000,59.134311
2023-10-05,58.199408,58850000,58.173254
2023-10-04,58.092536,58850000,58.007101
2023-10-03,57.404108,58850000,57.503312
2023-10-02,58.398999,58850000,58.440424
2023-09-29,57.865233,58850000,57.885878
2023-09-28,57.66857,58850000,57.63638
2023-09-27,57.282037,58850000,57.297967
2023-09-26,57.176818,58850000,57.233401
2023-09-25,58.299153,58850000,58.292725
2023-09-22,58.074356,58850000,58.100006
2023-09-21,57.941666,58850000,58.020318
2023-09-20,58.845313,58850000,58.935011
2023-09-19,59.749889,58850000,59.755809
2023-09-18,59.845852,58600000,59.876139
2023-09-15,59.722441,58700000,59.822592
2023-09-14,60.756523,58700000,60.757524
2023-09-13,60.262319,58700000,60.240741
2023-09-12,60.120079,58700000,60.140504
2023-09-11,61.087252,58700000,61.05045
2023-09-08,60.804356,58700000,60.827767
2023-09-07,60.733839,58700000,60.770041
2023-09-06,61.656214,58700000,61.681548
2023-09-05,62.352659,58700000,62.34879
2023-09-01,62.172824,58700000,62.187725
2023-08-31,61.923688,58700000,61.945921
2023-08-30,61.742222,58700000,61.736662
2023-08-29,61.334293,58900000,61.231489
2023-08-28,60.207814,59000000,60.161567
2023-08-25,59.729072,58600000,59.654638
2023-08-24,59.228883,58600000,59.402784
2023-08-23,60.519464,58600000,60.490826
2023-08-22,59.443709,58600000,59.482122
2023-08-21,59.490768,58600000,59.394738
2023-08-18,58.46422,58600000,58.454018
2023-08-17,58.349252,58600000,58.40131
2023-08-16,58.893457,58600000,58.990168
2023-08-15,59.365808,58600000,59.454166
2023-08-14,59.99394,58600000,59.934421
2023-08-11,59.189462,58600000,59.248047
2023-08-10,59.712382,58600000,59.763676
2023-08-09,59.665275,58750000,59.708877
2023-08-08,60.310225,58750000,60.314628
2023-08-07,60.899252,58750000,60.859729
2023-08-04,60.673624,59200000,60.734749
2023-08-03,61.478117,59200000,61.537641
2023-08-02,61.782241,59500000,61.862266
2023-08-01,63.397851,59500000,63.424226
2023-07-31,63.384789,59500000,63.385271
2023-07-28,63.381764,59850000,63.338583
2023-07-27,62.546472,59850000,62.616356
2023-07-26,62.606699,59850000,62.599327
2023-07-25,63.37108,59850000,63.350888
2023-07-24,62.71386,59850000,62.693294
2023-07-21,62.587798,59850000,62.595782
2023-07-20,62.749695,59850000,62.901534
2023-07-19,64.150863,59750000,64.179558
2023-07-18,64.426237,59750000,64.368346
2023-07-17,63.812084,59650000,63.769645
2023-07-14,63.141489,59650000,63.205733
2023-07-13,63.215546,59450000,63.10892
2023-07-12,62.257384,59350000,62.184856
2023-07-11,61.455653,59350000,61.41184
2023-07-10,61.214783,59350000,61.155338
2023-07-07,61.149148,59350000,61.136868
2023-07-06,61.373821,59350000,61.40309
2023-07-05,61.693169,59300000,61.750161
2023-07-03,62.118791,59600000,62.108291
2023-06-30,62.19918,59600000,62.159318
2023-06-29,61.23666,59600000,61.269543
2023-06-28,61.181231,59600000,61.173161
2023-06-27,61.119514,59600000,61.038073
2023-06-26,60.018736,59600000,60.070865
2023-06-23,60.443623,59600000,60.506342
2023-06-22,61.187336,59600000,61.16395
2023-06-21,60.727442,58950000,60.743736
2023-06-20,61.536469,58950000,61.545845
2023-06-16,61.97213,58950000,62.014214
2023-06-15,62.513736,58950000,62.459576
2023-06-14,61.812921,58750000,61.814587
2023-06-13,61.287723,58350000,61.260141
2023-06-12,60.808936,58250000,60.698091
2023-06-09,59.6165,58000000,59.592859
2023-06-08,59.305701,58000000,59.240806
2023-06-07,58.681754,57850000,58.741372
2023-06-06,59.744371,57800000,59.707621
2023-06-05,59.720298,57800000,59.733337
2023-06-02,60.050907,57800000,60.020866
2023-06-01,59.710268,57800000,59.625483
2023-05-31,58.959178,57800000,58.952369
2023-05-30,59.531981,57800000,59.544129
2023-05-26,59.309652,57800000,59.164666
2023-05-25,57.719689,57800000,57.629284
2023-05-24,55.59695,57800000,55.659172
2023-05-23,55.982137,57800000,56.070807
2023-05-22,56.861838,57800000,56.844959
2023-05-19,56.755618,57800000,56.743372
2023-05-18,56.718119,57800000,56.648166
2023-05-17,55.621261,57800000,55.513973
2023-05-16,54.876194,57800000,54.885023
2023-05-15,54.775763,57800000,54.708328
2023-05-12,54.370572,57800000,54.389761
2023-05-11,54.451188,57800000,54.477687
2023-05-10,54.75704,57800000,54.740113
2023-05-09,54.191674,57800000,54.209316
2023-05-08,54.618342,57800000,54.605143
2023-05-05,54.61381,57900000,54.550379
2023-05-04,53.267822,57900000,53.31884
2023-05-03,53.41656,57900000,53.464624
2023-05-02,53.761673,57900000,53.790137
2023-05-01,54.188055,57900000,54.161787
2023-04-28,54.150675,57900000,54.122482
2023-04-27,53.67186,57900000,53.5801
2023-04-26,52.563321,58150000,52.615067
2023-04-25,51.850118,58250000,51.949498
2023-04-24,52.973082,58250000,52.954225
2023-04-21,53.218753,58400000,53.204962
2023-04-20,53.33211,58300000,53.331532
2023-04-19,53.630526,58450000,53.636826
2023-04-18,53.837201,58450000,53.835029
2023-04-17,53.663192,58450000,53.648876
2023-04-14,53.545471,58450000,53.577058
2023-04-13,53.841542,58450000,53.781071
2023-04-12,52.861712,58450000,52.907253
2023-04-11,53.158523,58450000,53.168407
2023-04-10,53.586471,58450000,53.561425
2023-04-06,53.60945,58450000,53.584242
2023-04-05,53.377317,58450000,53.421501
2023-04-04,53.993596,58450000,54.017946
2023-04-03,54.277806,58450000,54.233814
2023-03-31,54.364685,58450000,54.319734
2023-03-30,53.655621,58450000,53.631604
2023-03-29,53.022636,58450000,52.970393
2023-03-28,52.00112,58700000,51.988264
2023-03-27,52.197021,58700000,52.221687
2023-03-24,52.638511,58700000,52.637257
2023-03-23,52.605199,58700000,52.649116
