date,nav_value,shares,Non-FV NAV
2024-08-30,89.49354,4050000,89.54018
2024-08-29,88.982851,4050000,88.961519
2024-08-28,89.007522,4050000,89.127225
2024-08-27,89.759672,4050000,89.7744
2024-08-26,89.830121,4050000,89.929662
2024-08-23,89.867299,4050000,89.771545
2024-08-22,89.218445,4050000,89.408991
2024-08-21,89.934668,4050000,89.838355
2024-08-20,89.455607,4050000,89.588383
2024-08-19,89.655355,4050000,89.545098
2024-08-16,88.566707,4050000,88.538975
2024-08-15,88.362961,4050000,88.19784
2024-08-14,87.620137,4050000,87.742631
2024-08-13,88.137299,4050000,88.02169
2024-08-12,87.00634,4050000,86.94212
2024-08-09,87.256468,4050000,87.265115
2024-08-08,86.647816,4050000,86.434742
2024-08-07,84.853518,4050000,84.992342
2024-08-06,84.936151,4150000,84.994563
2024-08-05,84.084783,4150000,83.862693
2024-08-02,86.308073,4150000,86.508748
2024-08-01,87.506871,4150000,87.761336
2024-07-31,87.30493,4150000,87.332834
2024-07-30,86.078905,4150000,86.074791
2024-07-29,86.065369,4150000,86.096102
2024-07-26,85.638298,4150000,85.539957
2024-07-25,84.75768,4150000,84.800838
2024-07-24,85.988581,4150000,86.226681
2024-07-23,88.233451,4150000,88.211705
2024-07-22,88.678145,4150000,88.59247
2024-07-19,87.975881,4150000,88.031133
2024-07-18,88.21627,4150000,88.409243
2024-07-17,88.352805,4900000,88.515142
2024-07-16,89.763816,4900000,89.666253
2024-07-15,90.04337,4900000,90.140248
2024-07-12,90.13303,4900000,90.164594
2024-07-11,90.408719,4900000,90.525839
2024-07-10,91.77496,4450000,91.662688
2024-07-09,91.060024,4450000,91.013458
2024-07-08,90.825229,4450000,90.83848
2024-07-05,91.560427,4450000,91.511469
2024-07-03,89.657963,4450000,89.603974
2024-07-02,89.224494,4450000,89.163736
2024-07-01,88.776039,4450000,88.789133
2024-06-28,88.699449,4450000,88.735609
2024-06-27,89.668563,4450000,89.682783
2024-06-26,89.252733,4450000,89.338031
2024-06-25,89.312182,4450000,89.299049
2024-06-24,88.31672,4450000,88.312872
2024-06-21,87.930606,4450000,87.95678
2024-06-20,87.739838,4450000,87.833863
2024-06-18,87.477932,4450000,87.364489
2024-06-17,87.841746,4450000,87.760378
2024-06-14,87.476769,4450000,87.555597
2024-06-13,87.245425,4450000,87.322732
2024-06-12,87.963369,4150000,87.965092
2024-06-11,87.800696,4150000,87.842984
2024-06-10,88.177657,4150000,88.168102
2024-06-07,87.708817,4150000,87.827722
2024-06-06,88.650576,4150000,88.610908
2024-06-05,88.587526,4150000,88.442607
2024-06-04,87.427609,4150000,87.46128
2024-06-03,87.04242,4150000,87.126839
2024-05-31,86.519682,4150000,86.412101
2024-05-30,86.015438,4150000,85.919019
2024-05-29,86.232451,4150000,86.301663
2024-05-28,86.982215,4150000,87.028682
2024-05-24,86.736226,4150000,86.68988
2024-05-23,85.868579,4150000,86.022625
2024-05-22,86.791527,4150000,86.891518
2024-05-21,87.007435,4150000,87.027327
2024-05-20,87.335665,4000000,87.400824
2024-05-17,87.297095,3850000,87.282359
2024-05-16,87.020657,3800000,87.011633
2024-05-15,86.970716,3300000,86.757487
2024-05-14,86.318221,3300000,86.16396
2024-05-13,85.765664,3300000,85.671993
2024-05-10,85.650228,3300000,85.62061
