date,nav_value,shares
2024-08-30,83.717185,13050000
2024-08-29,82.665937,13050000
2024-08-28,82.695407,13050000
2024-08-27,83.556975,12850000
2024-08-26,83.6023,12800000
2024-08-23,83.956946,12800000
2024-08-22,82.67485,12800000
2024-08-21,83.756319,12800000
2024-08-20,82.671285,12800000
2024-08-19,82.749427,12800000
2024-08-16,81.808337,12800000
2024-08-15,81.584826,12800000
2024-08-14,79.29306,12800000
2024-08-13,79.433125,12800000
2024-08-12,77.945872,12800000
2024-08-09,78.181797,12800000
2024-08-08,77.842546,12800000
2024-08-07,76.13554,12850000
2024-08-06,77.273233,13000000
2024-08-05,76.159901,13000000
2024-08-02,78.148501,13050000
2024-08-01,80.568054,12950000
2024-07-31,82.167905,12950000
2024-07-30,81.288622,13000000
2024-07-29,81.37401,13000000
2024-07-26,80.640265,13000000
2024-07-25,79.875663,13000000
2024-07-24,80.271445,13050000
2024-07-23,82.698062,13050000
2024-07-22,82.897886,13100000
2024-07-19,82.209739,13350000
2024-07-18,82.666824,13350000
2024-07-17,83.631267,13100000
2024-07-16,84.960686,13000000
2024-07-15,83.531253,12850000
2024-07-12,83.716277,12850000
2024-07-11,83.032204,12850000
2024-07-10,83.366325,12850000
2024-07-09,83.054534,12750000
2024-07-08,83.041294,12200000
2024-07-05,83.031007,12150000
2024-07-03,82.487164,12150000
2024-07-02,82.115839,12000000
2024-07-01,81.081051,11200000
2024-06-28,81.228022,11150000
2024-06-27,81.917134,11150000
2024-06-26,81.670761,11150000
2024-06-25,80.897387,11150000
2024-06-24,81.236318,11200000
2024-06-21,81.440873,11200000
2024-06-20,80.945374,11200000
2024-06-18,80.916628,11200000
2024-06-17,81.067078,11200000
2024-06-14,79.906804,11200000
2024-06-13,80.340725,11200000
2024-06-12,80.546742,11200000
2024-06-11,79.81759,11200000
2024-06-10,80.129694,11250000
2024-06-07,79.85569,11300000
2024-06-06,80.325944,11300000
2024-06-05,79.933233,11300000
2024-06-04,79.380655,11300000
2024-06-03,79.3311,11400000
2024-05-31,79.284379,11750000
2024-05-30,78.708011,11750000
2024-05-29,78.310729,11750000
2024-05-28,78.785926,11750000
2024-05-24,79.003642,11800000
2024-05-23,78.144264,11800000
2024-05-22,79.282864,11850000
2024-05-21,79.967635,11850000
2024-05-20,79.688113,11850000
2024-05-17,79.998258,11850000
2024-05-16,79.792596,11900000
2024-05-15,79.913428,11900000
2024-05-14,79.791703,11950000
2024-05-13,79.508706,11950000
2024-05-10,79.598162,11950000
2024-05-09,79.820487,11950000
2024-05-08,79.146182,11950000
2024-05-07,79.618892,11950000
2024-05-06,80.074308,12000000
2024-05-03,79.08546,12000000
2024-05-02,78.435632,12200000
2024-05-01,77.335298,12850000
2024-04-30,77.642129,12800000
2024-04-29,79.366096,12800000
2024-04-26,78.382833,12800000
2024-04-25,77.836569,12800000
2024-04-24,77.848623,12800000
2024-04-23,77.611376,12800000
2024-04-22,76.624479,12750000
2024-04-19,76.23275,12700000
2024-04-18,77.047932,12700000
2024-04-17,77.409927,12650000
2024-04-16,77.759811,12650000
2024-04-15,77.971481,12550000
2024-04-12,79.190354,12550000
2024-04-11,80.454275,12550000
2024-04-10,79.863512,12550000
2024-04-09,80.791143,12550000
2024-04-08,80.484289,12550000
2024-04-05,80.202961,12550000
2024-04-04,79.530629,12500000
2024-04-03,80.531117,12450000
2024-04-02,80.515663,12400000
2024-04-01,81.55164,12400000
2024-03-31,82.007097,12400000
2024-03-29,82.007097,12400000
2024-03-28,82.007097,12400000
2024-03-27,82.03409,12400000
2024-03-26,81.253276,12400000
2024-03-25,81.20688,12400000
2024-03-22,81.381758,12400000
2024-03-21,81.998368,12400000
2024-03-20,81.717626,12400000
2024-03-19,80.503725,12400000
2024-03-18,79.916062,12400000
2024-03-15,79.427,12400000
2024-03-14,80.086192,12100000
2024-03-13,80.624666,12100000
2024-03-12,80.640224,12100000
2024-03-11,79.981807,12100000
2024-03-08,80.125903,12100000
2024-03-07,80.737818,12100000
2024-03-06,80.118565,12100000
2024-03-05,80.185834,12100000
2024-03-04,80.800136,12050000
2024-03-01,81.363516,12050000
2024-02-29,80.949857,12050000
2024-02-28,80.435484,12050000
2024-02-27,80.25517,12050000
2024-02-26,79.788211,12050000
2024-02-23,79.641332,12050000
2024-02-22,79.767708,12050000
2024-02-21,78.449287,12050000
2024-02-20,78.241905,12000000
2024-02-16,78.834706,12000000
2024-02-15,79.199814,12000000
2024-02-14,78.345064,12000000
2024-02-13,77.186207,11850000
2024-02-12,78.489481,11750000
2024-02-09,78.360198,11750000
2024-02-08,78.09072,11700000
2024-02-07,77.411284,11750000
2024-02-06,76.774133,11750000
2024-02-05,76.283485,11750000
2024-02-02,77.08481,11750000
2024-02-01,76.115221,11750000
2024-01-31,74.797587,11750000
2024-01-30,75.912475,11850000
2024-01-29,76.119501,11800000
2024-01-26,75.239203,11850000
2024-01-25,74.906144,11850000
2024-01-24,74.87589,11850000
2024-01-23,74.916772,11850000
2024-01-22,74.997625,11850000
2024-01-19,75.028001,11950000
2024-01-18,74.467831,11950000
2024-01-17,73.857684,11950000
2024-01-16,74.453628,11950000
2024-01-12,74.60454,12000000
2024-01-11,75.198715,12000000
2024-01-10,75.099419,12100000
2024-01-09,74.572284,12100000
2024-01-08,74.707207,12100000
2024-01-05,73.537807,12100000
2024-01-04,73.374118,12100000
2024-01-03,73.688609,12000000
2024-01-02,75.004339,11850000
2023-12-29,75.775799,11850000
2023-12-28,76.213316,11850000
2023-12-27,76.366115,11800000
2023-12-26,76.136795,11800000
2023-12-22,75.869838,11800000
2023-12-21,76.208752,11750000
2023-12-20,75.227275,11700000
2023-12-19,76.777329,11700000
2023-12-18,76.099627,11700000
2023-12-15,75.653834,11700000
2023-12-14,75.555979,11550000
2023-12-13,74.828642,11500000
2023-12-12,73.59608,11500000
2023-12-11,73.39149,11500000
2023-12-08,72.959352,11500000
2023-12-07,72.663372,11500000
2023-12-06,72.135638,11400000
