date,nav_value,shares
2024-08-30,48.044538,26650000
2024-08-29,47.907934,26650000
2024-08-28,47.360914,26650000
2024-08-27,47.672293,26650000
2024-08-26,48.11139,26650000
2024-08-23,47.653259,26650000
2024-08-22,46.880844,26650000
2024-08-21,46.807665,26650000
2024-08-20,46.769556,26700000
2024-08-19,48.002016,26650000
2024-08-16,47.687914,26650000
2024-08-15,47.767212,26650000
2024-08-14,47.16004,26650000
2024-08-13,46.886727,26650000
2024-08-12,47.304856,26750000
2024-08-09,47.005914,26750000
2024-08-08,46.903945,26750000
2024-08-07,45.903099,26850000
2024-08-06,45.731912,26900000
2024-08-05,45.464273,27000000
2024-08-02,46.457679,27000000
2024-08-01,47.729539,27000000
2024-07-31,48.986222,27000000
2024-07-30,48.713155,27000000
2024-07-29,48.061452,27000000
2024-07-26,48.500667,27050000
2024-07-25,48.264427,27050000
2024-07-24,47.646482,27050000
2024-07-23,47.636131,27050000
2024-07-22,48.354659,27050000
2024-07-19,48.653678,27050000
2024-07-18,49.175655,27050000
2024-07-17,49.066153,27150000
2024-07-16,48.680613,27150000
2024-07-15,48.508191,27300000
2024-07-12,47.85742,27350000
2024-07-11,47.710099,27400000
2024-07-10,47.175807,27400000
2024-07-09,46.829783,27400000
2024-07-08,47.250883,27400000
2024-07-05,47.434085,27400000
2024-07-03,48.210003,27450000
2024-07-02,47.936845,27500000
2024-07-01,47.989123,27500000
2024-06-28,48.014766,27500000
2024-06-27,47.888419,27500000
2024-06-26,47.766344,27550000
2024-06-25,48.185665,27550000
2024-06-24,48.139218,27600000
2024-06-21,46.923654,27600000
2024-06-20,47.234703,27600000
2024-06-18,46.473332,27600000
2024-06-17,46.245254,27600000
2024-06-14,46.196125,27650000
2024-06-13,46.657572,27750000
2024-06-12,47.106431,27800000
2024-06-11,47.558841,27800000
2024-06-10,47.896641,27900000
2024-06-07,47.43158,28000000
2024-06-06,47.682109,28150000
2024-06-05,47.441793,28250000
2024-06-04,47.396348,28400000
2024-06-03,47.868669,29550000
2024-05-31,49.077957,29550000
2024-05-30,47.976658,29550000
2024-05-29,47.820007,29550000
2024-05-28,48.681866,29550000
2024-05-24,48.165842,29550000
2024-05-23,48.002007,29550000
2024-05-22,48.493896,29550000
2024-05-21,49.22008,29550000
2024-05-20,49.437141,29500000
2024-05-17,49.727221,29500000
2024-05-16,49.067001,29500000
2024-05-15,49.158651,29500000
2024-05-14,49.082851,29500000
2024-05-13,48.955626,29400000
2024-05-10,49.075487,29450000
2024-05-09,49.361149,29350000
2024-05-08,48.713946,29400000
2024-05-07,48.798557,29400000
2024-05-06,48.851233,29350000
2024-05-03,48.434242,29250000
2024-05-02,48.398527,28900000
2024-05-01,48.110401,27550000
2024-04-30,48.885079,27500000
2024-04-29,50.376153,27500000
2024-04-26,50.017771,27500000
2024-04-25,50.447258,27500000
2024-04-24,50.183178,27450000
2024-04-23,50.156734,27500000
2024-04-22,49.881807,27500000
2024-04-19,49.566888,27500000
2024-04-18,49.05538,27500000
2024-04-17,49.171073,27500000
2024-04-16,49.305874,27500000
2024-04-15,49.732219,27500000
2024-04-12,50.235306,27500000
2024-04-11,51.018483,27550000
2024-04-10,51.12441,27500000
2024-04-09,50.945494,27500000
2024-04-08,50.888864,27350000
2024-04-05,51.174817,27300000
2024-04-04,50.665929,27350000
2024-04-03,50.708743,27300000
2024-04-02,50.343121,27300000
2024-04-01,49.735035,27300000
2024-03-31,49.377949,27300000
2024-03-29,49.377949,27300000
2024-03-28,49.377949,27400000
2024-03-27,48.855162,27400000
2024-03-26,48.316426,27400000
2024-03-25,48.692277,27400000
2024-03-22,48.287341,27400000
2024-03-21,48.391318,27400000
2024-03-20,48.445886,27400000
2024-03-19,48.419163,27400000
2024-03-18,47.917312,27400000
2024-03-15,47.728352,27450000
2024-03-14,47.611557,27450000
2024-03-13,47.183053,27450000
2024-03-12,46.502615,27450000
2024-03-11,46.598148,27500000
2024-03-08,46.150668,27500000
2024-03-07,45.981756,27500000
2024-03-06,45.601568,27500000
2024-03-05,45.461224,27500000
2024-03-04,45.139019,27500000
2024-03-01,45.631579,27550000
2024-02-29,45.078747,27550000
2024-02-28,44.809821,27550000
2024-02-27,44.908056,27550000
2024-02-26,45.073806,27550000
2024-02-23,44.942044,27550000
2024-02-22,45.221849,27600000
2024-02-21,45.228351,27650000
2024-02-20,44.390099,27750000
2024-02-16,44.811599,27750000
2024-02-15,44.805966,27750000
2024-02-14,43.616738,27800000
2024-02-13,43.635497,27800000
2024-02-12,44.08023,27800000
2024-02-09,43.588834,27850000
2024-02-08,44.183035,27850000
2024-02-07,43.757521,27850000
2024-02-06,43.617993,27850000
2024-02-05,43.455685,27850000
2024-02-02,43.605495,27850000
2024-02-01,43.630295,27850000
2024-01-31,43.645818,27950000
2024-01-30,44.472716,27950000
2024-01-29,44.070983,27950000
2024-01-26,44.120586,28000000
2024-01-25,43.789908,28000000
2024-01-24,42.922576,28050000
2024-01-23,42.347907,28050000
2024-01-22,42.189365,28050000
2024-01-19,42.031993,28100000
2024-01-18,41.900622,28200000
2024-01-17,41.97946,28200000
2024-01-16,42.353976,28200000
2024-01-12,43.408821,28200000
2024-01-11,42.885248,28200000
2024-01-10,42.85416,28250000
2024-01-09,43.296243,28250000
2024-01-08,43.950041,28250000
2024-01-05,44.449158,28250000
2024-01-04,44.402245,28350000
2024-01-03,45.141688,28400000
2024-01-02,44.571386,28450000
2023-12-29,44.108261,28450000
2023-12-28,44.239945,28500000
2023-12-27,44.858874,28500000
2023-12-26,45.088675,28400000
2023-12-22,44.692631,28400000
2023-12-21,44.573283,28400000
2023-12-20,44.346604,28400000
2023-12-19,45.194601,28450000
2023-12-18,44.623,28450000
2023-12-15,44.284071,28650000
2023-12-14,44.462215,28900000
2023-12-13,43.122976,28900000
2023-12-12,42.53536,28900000
2023-12-11,43.15129,28950000
2023-12-08,43.121653,29000000
2023-12-07,42.659418,29000000
2023-12-06,42.889945,29050000
2023-12-05,43.639388,29050000
2023-12-04,44.409136,29200000
2023-12-01,44.693298,29550000
2023-11-30,44.439976,29600000
2023-11-29,44.143074,29600000
2023-11-28,44.460845,29600000
2023-11-27,44.4508,29450000
2023-11-24,44.649675,29150000
2023-11-22,44.46361,29150000
2023-11-21,44.47401,29100000
2023-11-20,44.565292,29150000
2023-11-17,44.477951,29150000
2023-11-16,43.615311,29150000
2023-11-15,44.458896,29050000
2023-11-14,44.530168,29050000
2023-11-13,44.062649,29050000
2023-11-10,43.747403,29100000
2023-11-09,43.332949,29100000
2023-11-08,43.478591,29100000
2023-11-07,44.019015,29100000
2023-11-06,45.037542,29100000
2023-11-03,45.661552,29150000
2023-11-02,46.076051,29150000
2023-11-01,44.697804,29100000
2023-10-31,44.796128,29100000
2023-10-30,44.623807,29100000
2023-10-27,44.533371,29100000
2023-10-26,45.570748,29200000
2023-10-25,45.852885,29200000
2023-10-24,45.947019,29250000
