date,nav_value,shares
2024-08-30,105.00709,31450000
2024-08-29,103.908254,31450000
2024-08-28,103.320574,31450000
2024-08-27,102.975671,31350000
2024-08-26,102.626416,30600000
2024-08-23,102.451343,30550000
2024-08-22,101.148315,30500000
2024-08-21,100.704682,30550000
2024-08-20,100.672369,30550000
2024-08-19,101.276237,30550000
2024-08-16,100.569462,30550000
2024-08-15,99.847829,30550000
2024-08-14,99.043258,30550000
2024-08-13,97.661662,30550000
2024-08-12,96.789864,30550000
2024-08-09,97.326984,30600000
2024-08-08,96.867625,30600000
2024-08-07,95.234257,30600000
2024-08-06,95.245614,30800000
2024-08-05,93.924078,30750000
2024-08-02,96.622801,30750000
2024-08-01,99.447231,30650000
2024-07-31,101.216937,30500000
2024-07-30,101.667919,30500000
2024-07-29,100.608337,30550000
2024-07-26,101.105576,29500000
2024-07-25,99.724152,29550000
2024-07-24,99.097121,29550000
2024-07-23,100.192588,29550000
2024-07-22,99.849471,29550000
2024-07-19,99.186223,30000000
2024-07-18,99.924028,29700000
2024-07-17,101.281662,28750000
2024-07-16,100.713654,28250000
2024-07-15,99.35742,28100000
2024-07-12,97.840183,27850000
2024-07-11,97.673077,27800000
2024-07-10,96.686924,27400000
2024-07-09,95.799455,27400000
2024-07-08,95.023143,27400000
2024-07-05,95.055509,27400000
2024-07-03,95.442782,27400000
2024-07-02,95.669697,27300000
2024-07-01,94.835552,27300000
2024-06-28,94.585111,27300000
2024-06-27,94.035329,27000000
2024-06-26,93.788915,26950000
2024-06-25,94.288624,26950000
2024-06-24,95.010214,26950000
2024-06-21,94.068355,26600000
2024-06-20,94.45,26650000
2024-06-18,93.98388,27150000
2024-06-17,93.396999,27850000
2024-06-14,92.547947,27850000
2024-06-13,92.929784,27850000
2024-06-12,93.289193,27850000
2024-06-11,92.769798,27850000
2024-06-10,94.19217,27850000
2024-06-07,94.252474,27850000
2024-06-06,94.107982,27850000
2024-06-05,94.382159,27850000
2024-06-04,94.103086,28000000
2024-06-03,94.727554,28000000
2024-05-31,95.222085,27950000
2024-05-30,94.001081,27950000
2024-05-29,93.291914,27950000
2024-05-28,94.230079,27950000
2024-05-24,95.187984,27950000
2024-05-23,94.299335,27950000
2024-05-22,95.870014,27950000
2024-05-21,96.345304,27950000
2024-05-20,95.614773,27950000
2024-05-17,96.776546,27950000
2024-05-16,96.095376,27900000
2024-05-15,96.22427,27900000
2024-05-14,95.383724,27900000
2024-05-13,94.670473,27900000
2024-05-10,95.161425,27900000
2024-05-09,94.797258,27750000
2024-05-08,94.088416,27750000
2024-05-07,93.728621,27750000
2024-05-06,93.644119,27750000
2024-05-03,92.475859,27750000
2024-05-02,92.125653,27750000
2024-05-01,91.693846,27750000
2024-04-30,91.193592,27750000
2024-04-29,92.11406,27750000
2024-04-26,92.241473,27750000
2024-04-25,92.447123,27750000
2024-04-24,93.003365,27300000
2024-04-23,93.193869,27300000
2024-04-22,92.615354,27300000
2024-04-19,91.345,27350000
2024-04-18,90.096099,27350000
2024-04-17,89.557218,27350000
2024-04-16,89.441597,27350000
2024-04-15,90.059358,27400000
2024-04-12,90.550107,27400000
2024-04-11,92.08271,27400000
2024-04-10,92.730977,27400000
2024-04-09,94.249026,27400000
2024-04-08,94.771908,27400000
2024-04-05,94.295816,27400000
2024-04-04,93.535898,27400000
2024-04-03,94.489567,27400000
2024-04-02,94.421856,27400000
2024-04-01,95.075068,27400000
2024-03-31,95.727241,27400000
2024-03-29,95.727241,27400000
2024-03-28,95.727241,27400000
2024-03-27,95.219045,27400000
2024-03-26,93.861207,27350000
2024-03-25,93.743924,27350000
2024-03-22,93.775263,27300000
2024-03-21,94.83262,27300000
2024-03-20,94.133451,27300000
2024-03-19,92.816176,27300000
2024-03-18,92.478611,27300000
2024-03-15,92.237327,27300000
2024-03-14,92.024043,27300000
2024-03-13,92.952895,27250000
2024-03-12,92.480434,27250000
2024-03-11,92.178035,27250000
2024-03-08,92.010439,27250000
2024-03-07,91.93957,27250000
2024-03-06,91.950479,27250000
2024-03-05,91.503801,27250000
2024-03-04,91.322656,27250000
2024-03-01,90.784508,27250000
2024-02-29,91.042554,27250000
2024-02-28,90.822193,27250000
2024-02-27,90.542946,26450000
2024-02-26,90.168715,26450000
2024-02-23,90.602798,26450000
2024-02-22,90.346835,26450000
2024-02-21,89.340415,26450000
2024-02-20,89.202978,26450000
2024-02-16,89.331381,26450000
2024-02-15,89.486157,26450000
2024-02-14,87.94574,26450000
2024-02-13,86.95432,26400000
2024-02-12,88.364138,26350000
2024-02-09,87.865635,26350000
2024-02-08,87.460324,26450000
2024-02-07,87.520245,26150000
2024-02-06,86.914122,26150000
2024-02-05,86.677125,26150000
2024-02-02,87.279648,26150000
2024-02-01,86.746193,26150000
2024-01-31,87.068422,26200000
2024-01-30,88.333241,26200000
2024-01-29,87.418742,26250000
2024-01-26,87.230666,26250000
2024-01-25,87.005336,26250000
2024-01-24,86.489296,26250000
2024-01-23,85.968945,26150000
2024-01-22,85.920447,26150000
2024-01-19,85.505328,26050000
2024-01-18,84.086664,24850000
2024-01-17,83.937537,24850000
2024-01-16,84.263142,24850000
2024-01-12,84.861764,24900000
2024-01-11,85.096253,24850000
2024-01-10,85.518957,24700000
2024-01-09,85.328147,24500000
2024-01-08,86.108821,24500000
2024-01-05,85.631554,24500000
2024-01-04,85.132112,24350000
2024-01-03,84.851415,24250000
2024-01-02,85.654162,24150000
2023-12-29,85.349422,24150000
2023-12-28,85.690333,24150000
2023-12-27,85.401894,24150000
2023-12-26,85.082163,24150000
2023-12-22,84.652334,24150000
2023-12-21,84.366629,24100000
2023-12-20,83.659748,24100000
2023-12-19,85.61122,24000000
2023-12-18,84.868537,24000000
2023-12-15,84.845641,24000000
2023-12-14,85.291247,23950000
2023-12-13,84.022511,23950000
2023-12-12,82.583135,23850000
2023-12-11,82.092122,23850000
2023-12-08,81.593871,23850000
2023-12-07,81.007995,23800000
2023-12-06,80.65309,23700000
2023-12-05,81.198801,23700000
2023-12-04,81.644383,23650000
2023-12-01,81.44913,23650000
2023-11-30,80.71231,23600000
2023-11-29,79.869587,23600000
2023-11-28,79.148743,23450000
2023-11-27,79.350348,23450000
2023-11-24,79.530285,23400000
2023-11-22,79.20757,23400000
2023-11-21,78.883376,23400000
2023-11-20,78.999031,23400000
2023-11-17,78.756295,23400000
2023-11-16,78.266906,23400000
2023-11-15,78.044612,23450000
2023-11-14,77.693248,24000000
2023-11-13,75.99006,24000000
2023-11-10,76.07881,24100000
2023-11-09,75.26438,24100000
2023-11-08,75.512212,24100000
2023-11-07,75.521646,24250000
2023-11-06,75.630667,24400000
2023-11-03,76.021614,24600000
2023-11-02,74.819772,24600000
2023-11-01,73.055489,24600000
2023-10-31,72.566053,24600000
2023-10-30,71.840276,24650000
2023-10-27,70.677071,24650000
2023-10-26,72.241826,24650000
2023-10-25,71.779016,24650000
2023-10-24,72.100054,24650000
2023-10-23,71.701799,24650000
2023-10-20,72.263929,24650000
2023-10-19,73.503052,24650000
2023-10-18,74.439195,24650000
2023-10-17,75.758559,24650000
2023-10-16,75.272858,24650000
2023-10-13,74.436514,24650000
2023-10-12,74.332822,24650000
2023-10-11,74.97124,24700000
2023-10-10,74.779702,24700000
2023-10-09,74.294999,24750000
2023-10-06,74.184892,24750000
2023-10-05,73.547228,24650000
2023-10-04,73.09752,24600000
2023-10-03,72.468639,24550000
2023-10-02,73.809606,24500000
2023-09-29,74.693301,23850000
2023-09-28,75.318645,23950000
2023-09-27,74.773274,23950000
2023-09-26,74.832428,23950000
2023-09-25,76.310552,23900000
2023-09-22,76.097515,23900000
2023-09-21,76.609955,23850000
2023-09-20,77.833127,23850000
2023-09-19,78.294687,23600000
2023-09-18,78.317251,23650000
2023-09-15,78.138113,23750000
2023-09-14,78.622065,23750000
2023-09-13,77.605632,23900000
2023-09-12,77.770459,23900000
2023-09-11,77.004723,23950000
2023-09-08,76.700495,24000000
2023-09-07,76.353955,24050000
2023-09-06,76.468085,24050000
2023-09-05,76.719753,24100000
2023-09-01,77.421923,24100000
2023-08-31,76.86616,24100000
2023-08-30,77.00925,24000000
2023-08-29,76.954339,24000000
2023-08-28,76.165392,24000000
2023-08-25,75.734133,24000000
2023-08-24,75.615616,24000000
2023-08-23,75.656283,24050000
2023-08-22,74.832223,24100000
2023-08-21,75.76692,24100000
2023-08-18,75.88207,24100000
2023-08-17,75.92043,24100000
2023-08-16,76.310805,24100000
2023-08-15,76.464758,24100000
2023-08-14,77.901947,24100000
2023-08-11,78.278822,24100000
2023-08-10,78.077141,24100000
2023-08-09,78.069508,24100000
2023-08-08,78.847625,24100000
2023-08-07,79.583052,24100000
2023-08-04,78.541992,24100000
2023-08-03,78.852996,24100000
2023-08-02,78.5874,24100000
2023-08-01,79.167231,24100000
2023-07-31,79.387777,24100000
2023-07-28,79.165355,24250000
2023-07-27,79.000268,24300000
2023-07-26,79.958668,24300000
2023-07-25,79.192667,24300000
2023-07-24,79.712629,24300000
2023-07-21,78.966997,24300000
2023-07-20,79.263134,24300000
2023-07-19,78.584491,24300000
2023-07-18,78.069578,24300000
2023-07-17,76.832953,24350000
2023-07-14,75.961717,23950000
2023-07-13,76.606998,23950000
2023-07-12,76.111351,23950000
2023-07-11,75.595972,24000000
2023-07-10,74.628664,24000000
2023-07-07,74.39509,24000000
2023-07-06,73.983299,24050000
2023-07-05,74.690544,24050000
2023-07-03,75.129143,24050000
2023-06-30,74.636847,24050000
2023-06-29,74.136681,24050000
2023-06-28,72.95031,24100000
2023-06-27,73.100884,24100000
2023-06-26,72.465424,24050000
2023-06-23,72.392422,24050000
2023-06-22,72.87947,24050000
2023-06-21,73.677284,24050000
2023-06-20,73.89345,24050000
2023-06-16,74.45763,24000000
2023-06-15,74.758672,24000000
2023-06-14,73.709797,24050000
2023-06-13,74.126662,24050000
2023-06-12,73.345075,24050000
2023-06-09,73.633936,24050000
2023-06-08,73.64851,24050000
2023-06-07,73.554804,24100000
2023-06-06,73.238513,24150000
2023-06-05,72.282584,24200000
2023-06-02,72.735172,24200000
2023-06-01,70.941365,24200000
2023-05-31,70.238855,24200000
2023-05-30,71.219411,24200000
2023-05-26,70.970014,24200000
2023-05-25,70.515661,24300000
2023-05-24,70.445414,24300000
2023-05-23,71.385959,24300000
2023-05-22,72.033737,24300000
2023-05-19,71.709122,24300000
2023-05-18,71.979626,24300000
2023-05-17,71.530979,24400000
2023-05-16,69.900237,24400000
2023-05-15,70.662037,24400000
2023-05-12,70.022725,24400000
2023-05-11,70.302671,24450000
2023-05-10,70.506969,24650000
2023-05-09,70.716033,24700000
2023-05-08,70.832722,24700000
2023-05-05,70.709957,24800000
2023-05-04,68.933054,24850000
2023-05-03,70.222235,24900000
2023-05-02,71.207954,24950000
2023-05-01,72.994399,25000000
2023-04-28,73.160172,25000000
2023-04-27,72.329248,25100000
2023-04-26,71.135489,25200000
2023-04-25,71.864974,25200000
2023-04-24,73.269975,25200000
2023-04-21,73.41323,25250000
2023-04-20,73.860832,25250000
2023-04-19,74.275119,25250000
2023-04-18,73.878263,25250000
2023-04-17,73.519807,25250000
2023-04-14,72.518241,25400000
2023-04-13,71.839272,25400000
2023-04-12,71.416557,25450000
2023-04-11,71.485742,25300000
2023-04-10,70.88036,25250000
2023-04-06,70.613983,25250000
2023-04-05,70.260972,25250000
2023-04-04,70.334396,25350000
2023-04-03,71.15294,25300000
2023-03-31,71.226035,25500000
2023-03-30,70.393251,25500000
2023-03-29,70.574268,25550000
2023-03-28,69.543282,25550000
2023-03-27,69.459163,25550000
2023-03-24,68.346751,25800000
2023-03-23,68.272955,25800000
2023-03-22,69.288963,26050000
2023-03-21,71.233446,26200000
2023-03-20,69.266673,26200000
2023-03-17,68.317563,26200000
2023-03-16,70.634698,26100000
2023-03-15,69.228595,26150000
2023-03-14,71.178695,26150000
2023-03-13,69.617177,26250000
2023-03-10,72.450623,26100000
2023-03-09,74.179825,26150000
2023-03-08,77.449353,26200000
2023-03-07,77.692974,26200000
2023-03-06,79.627995,26200000
2023-03-03,79.643332,26200000
2023-03-02,78.449024,26200000
2023-03-01,78.853705,26200000
2023-02-28,79.164665,26200000
2023-02-27,78.995605,26250000
2023-02-24,79.006227,26150000
2023-02-23,78.982785,26150000
2023-02-22,78.863723,26200000
2023-02-21,79.026527,26200000
2023-02-17,80.677256,26200000
2023-02-16,80.633452,26150000
2023-02-15,81.494418,26150000
2023-02-14,81.278751,26100000
2023-02-13,81.691619,26100000
2023-02-10,80.78254,26100000
2023-02-09,80.432752,26150000
2023-02-08,81.566912,26150000
2023-02-07,82.057776,26150000
2023-02-06,81.076157,26150000
2023-02-03,81.217555,26150000
2023-02-02,81.376991,26200000
2023-02-01,81.190647,26200000
2023-01-31,80.979905,26350000
2023-01-30,79.836158,26350000
2023-01-27,80.291539,26350000
2023-01-26,80.373014,26350000
2023-01-25,79.80556,26300000
2023-01-24,79.304499,26300000
2023-01-23,79.289904,26300000
2023-01-20,78.380887,26300000
2023-01-19,77.046434,26300000
2023-01-18,77.99128,26300000
2023-01-17,79.419532,26250000
2023-01-13,79.907389,26250000
2023-01-12,79.360044,26250000
2023-01-11,79.055753,26300000
2023-01-10,78.3675,26300000
2023-01-09,77.8306,26300000
2023-01-06,78.073037,26500000
2023-01-05,76.299364,26500000
2023-01-04,76.923702,26550000
2023-01-03,75.737467,26550000
2022-12-30,75.48436,26550000
2022-12-29,75.732492,26550000
2022-12-28,74.589582,26600000
2022-12-27,74.975967,26600000
2022-12-23,75.025712,26600000
2022-12-22,74.558889,26600000
2022-12-21,75.310586,26600000
2022-12-20,73.987653,26650000
2022-12-19,73.743667,26750000
2022-12-16,73.933358,26800000
2022-12-15,74.49278,26800000
2022-12-14,76.008306,26800000
2022-12-13,76.958819,26850000
2022-12-12,77.176805,26850000
2022-12-09,76.246334,26900000
2022-12-08,76.532156,26900000
2022-12-07,76.355014,27000000
2022-12-06,76.757602,27050000
2022-12-05,77.403025,27100000
2022-12-02,79.54902,27100000
2022-12-01,79.852128,27100000
2022-11-30,80.367085,27150000
2022-11-29,78.933001,27150000
2022-11-28,78.480813,27150000
2022-11-25,79.91192,27150000
2022-11-23,79.524216,27400000
2022-11-22,79.233166,27350000
2022-11-21,78.432746,27350000
2022-11-18,78.187285,27350000
2022-11-17,77.642802,27350000
2022-11-16,78.126318,27300000
2022-11-15,78.642882,27350000
2022-11-14,78.290091,27350000
2022-11-11,79.712348,27350000
2022-11-10,79.160377,27350000
2022-11-09,75.218227,27350000
2022-11-08,76.545951,27350000
2022-11-07,76.196891,27200000
2022-11-04,75.512027,27150000
2022-11-03,74.133795,27150000
2022-11-02,74.86022,27150000
2022-11-01,75.830827,27150000
2022-10-31,75.469758,27150000
2022-10-28,75.964136,27150000
2022-10-27,74.082898,27150000
2022-10-26,73.479512,27150000
2022-10-25,73.259777,27050000
2022-10-24,72.291063,27150000
2022-10-21,71.353443,27200000
2022-10-20,69.40148,27000000
2022-10-19,70.635808,26950000
2022-10-18,71.777617,26850000
2022-10-17,70.708953,26800000
2022-10-14,68.966079,26800000
2022-10-13,70.250581,26800000
2022-10-12,67.626248,26800000
2022-10-11,67.790675,26850000
2022-10-10,68.645611,26850000
2022-10-07,68.938465,26850000
2022-10-06,70.653972,26850000
2022-10-05,71.595478,26850000
2022-10-04,72.189535,26800000
2022-10-03,69.390668,26800000
2022-09-30,67.500807,26850000
2022-09-29,68.164071,26850000
2022-09-28,69.055589,26850000
2022-09-27,67.740452,26800000
2022-09-26,67.96594,26850000
2022-09-23,69.506221,26800000
2022-09-22,70.689284,26750000
2022-09-21,71.931454,26750000
2022-09-20,73.381127,26700000
2022-09-19,74.541852,26600000
2022-09-16,73.689045,26650000
2022-09-15,74.493847,26650000
2022-09-14,74.291789,26650000
2022-09-13,74.41801,26650000
2022-09-12,77.261435,26600000
2022-09-09,76.634688,26600000
2022-09-08,75.95001,26650000
2022-09-07,74.632365,26650000
2022-09-06,73.137908,26600000
2022-09-02,73.305903,26600000
2022-09-01,73.903839,26650000
2022-08-31,73.657511,26600000
2022-08-30,74.206077,26600000
2022-08-29,74.561202,26750000
2022-08-26,75.141614,26750000
2022-08-25,77.524007,26750000
2022-08-24,76.364681,26750000
2022-08-23,76.019766,26750000
2022-08-22,76.249373,26750000
2022-08-19,77.922372,26750000
2022-08-18,79.55223,26650000
2022-08-17,79.415254,26650000
2022-08-16,79.852337,26650000
2022-08-15,79.363398,26550000
2022-08-12,79.336963,26550000
2022-08-11,78.010211,26550000
2022-08-10,77.27139,26550000
2022-08-09,75.422493,26550000
2022-08-08,75.115991,26600000
2022-08-05,75.163089,26600000
2022-08-04,74.616554,26600000
2022-08-03,74.785036,26550000
2022-08-02,73.655182,26550000
2022-08-01,74.450495,26550000
2022-07-29,75.02374,26650000
2022-07-28,74.017733,26650000
2022-07-27,73.363319,26500000
2022-07-26,72.181503,26500000
2022-07-25,73.204008,26500000
2022-07-22,72.727434,26500000
2022-07-21,73.232883,26500000
2022-07-20,72.809163,26450000
2022-07-19,72.47439,26450000
2022-07-18,70.271876,26450000
2022-07-15,70.595482,26550000
2022-07-14,68.278838,26600000
2022-07-13,69.606574,26750000
2022-07-12,70.317523,26750000
2022-07-11,70.755157,26750000
2022-07-08,71.378326,26750000
2022-07-07,71.604339,26750000
2022-07-06,70.571,26750000
2022-07-05,70.793866,26750000
2022-07-01,70.949184,26750000
2022-06-30,69.951819,26750000
2022-06-29,70.533087,26750000
2022-06-28,71.051294,26650000
2022-06-27,71.736189,26650000
2022-06-24,72.038024,26800000
2022-06-23,69.331897,26800000
2022-06-22,69.501613,26850000
2022-06-21,69.62617,26850000
2022-06-17,68.216161,26950000
2022-06-16,67.993249,27100000
2022-06-15,69.926602,27400000
2022-06-14,69.097528,27450000
2022-06-13,69.601556,27450000
2022-06-10,71.872683,27650000
2022-06-09,74.548946,27650000
2022-06-08,76.744848,27650000
2022-06-07,78.102087,27650000
2022-06-06,77.546548,27700000
2022-06-03,77.245091,27700000
2022-06-02,78.402858,27700000
2022-06-01,77.157903,27700000
2022-05-31,78.423307,27700000
2022-05-27,78.769341,27700000
2022-05-26,77.368612,27700000
2022-05-25,75.549023,27850000
2022-05-24,74.884355,27900000
2022-05-23,75.111687,27900000
2022-05-20,72.983019,27900000
2022-05-19,72.978358,27900000
2022-05-18,73.418719,27900000
2022-05-17,75.525843,27900000
2022-05-16,73.524833,27800000
2022-05-13,74.100151,27800000
2022-05-12,72.88955,27750000
2022-05-11,73.16246,27750000
2022-05-10,73.965345,29500000
2022-05-09,74.49516,29500000
2022-05-06,76.445237,29500000
2022-05-05,77.043882,29600000
2022-05-04,79.375125,29600000
2022-05-03,77.073658,29600000
2022-05-02,76.049026,27700000
2022-04-29,75.8121,27650000
2022-04-28,78.507326,27650000
2022-04-27,77.514225,27650000
2022-04-26,77.440422,27650000
2022-04-25,79.574661,27700000
2022-04-22,79.432684,27800000
2022-04-21,81.860649,27850000
2022-04-20,83.336537,27850000
2022-04-19,82.669733,27850000
2022-04-18,81.46904,27850000
2022-04-14,81.207446,28000000
2022-04-13,82.117703,28100000
2022-04-12,81.927274,28150000
2022-04-11,82.8059,28150000
2022-04-08,83.188875,28150000
2022-04-07,82.484725,28150000
2022-04-06,82.683974,28150000
2022-04-05,83.341385,28300000
2022-04-04,84.019158,28500000
2022-04-01,84.391624,28500000
2022-03-31,84.467753,28500000
2022-03-30,86.34576,28700000
2022-03-29,87.142389,28600000
2022-03-28,86.622684,28600000
2022-03-25,86.841275,28600000
2022-03-24,85.823874,28550000
2022-03-23,85.518605,28550000
2022-03-22,87.139912,28550000
2022-03-21,85.723327,28550000
2022-03-18,85.848154,28550000
2022-03-17,85.478513,28550000
2022-03-16,84.543187,28550000
2022-03-15,82.068621,28550000
2022-03-14,81.016609,28150000
2022-03-11,80.299725,28100000
2022-03-10,80.843262,28100000
2022-03-09,81.495493,28100000
2022-03-08,78.640085,28250000
2022-03-07,79.019762,28300000
2022-03-04,82.154256,28300000
2022-03-03,83.840083,28300000
2022-03-02,84.206743,28300000
2022-03-01,81.89369,28400000
2022-02-28,84.861361,28400000
2022-02-25,86.000839,28400000
2022-02-24,83.229327,30350000
2022-02-23,84.064698,30400000
2022-02-22,85.535649,30400000
2022-02-18,85.99625,30400000
2022-02-17,86.087344,30400000
2022-02-16,88.375008,30300000
2022-02-15,88.26941,30300000
2022-02-14,86.959808,30400000
2022-02-11,87.974752,30400000
2022-02-10,89.460875,30200000
2022-02-09,90.254538,30150000
2022-02-08,89.659366,30050000
2022-02-07,88.631673,30050000
2022-02-04,88.428268,30050000
2022-02-03,87.035665,30050000
2022-02-02,88.142767,30050000
2022-02-01,87.55874,30050000
2022-01-31,86.342593,30050000
2022-01-28,85.359463,29950000
2022-01-27,84.198152,29950000
2022-01-26,84.788958,29950000
2022-01-25,84.633021,29950000
2022-01-24,84.593572,29950000
2022-01-21,84.360928,29950000
2022-01-20,86.12755,29950000
2022-01-19,86.67717,30150000
2022-01-18,88.159056,30150000
2022-01-14,90.142464,29900000
