date,nav_value,shares
2024-08-30,130.258848,11800000
2024-08-29,128.961791,11800000
2024-08-28,127.774931,11800000
2024-08-27,128.007782,11800000
2024-08-26,127.935039,11850000
2024-08-23,127.869767,11850000
2024-08-22,126.545222,11850000
2024-08-21,126.799585,11850000
2024-08-20,125.961863,11850000
2024-08-19,126.226007,11850000
2024-08-16,125.616135,11850000
2024-08-15,125.647284,11850000
2024-08-14,123.698592,11900000
2024-08-13,123.222808,11900000
2024-08-12,121.780305,11900000
2024-08-09,122.481402,11900000
2024-08-08,122.329234,11950000
2024-08-07,119.889639,11950000
2024-08-06,120.702912,11950000
2024-08-05,119.490508,11950000
2024-08-02,122.311774,12000000
2024-08-01,125.082817,12100000
2024-07-31,127.176701,12050000
2024-07-30,125.645316,12050000
2024-07-29,124.969818,12050000
2024-07-26,124.844305,12050000
2024-07-25,122.55054,12050000
2024-07-24,121.612109,12050000
2024-07-23,124.453919,12050000
2024-07-22,124.617603,12050000
2024-07-19,123.197891,12050000
2024-07-18,124.248239,12050000
2024-07-17,125.136433,12050000
2024-07-16,126.151141,12050000
2024-07-15,123.289503,12100000
2024-07-12,122.146664,12150000
2024-07-11,121.093606,12150000
2024-07-10,119.484439,12200000
2024-07-09,118.740201,12200000
2024-07-08,119.292258,12300000
2024-07-05,119.312027,12300000
2024-07-03,119.728382,12350000
2024-07-02,119.239628,12450000
2024-07-01,118.370946,12850000
2024-06-28,119.498033,12900000
2024-06-27,119.486856,12900000
2024-06-26,119.912939,12900000
2024-06-25,120.20187,12900000
2024-06-24,121.373561,12900000
2024-06-21,120.972507,12900000
2024-06-20,121.011008,12900000
2024-06-18,120.634751,12900000
2024-06-17,120.118104,12900000
2024-06-14,119.078391,12900000
2024-06-13,120.119623,12900000
2024-06-12,120.626151,12900000
2024-06-11,120.060177,12900000
2024-06-10,121.011704,12900000
2024-06-07,120.828981,12900000
2024-06-06,120.855172,12900000
2024-06-05,121.358036,12950000
2024-06-04,120.25985,12950000
2024-06-03,120.570472,12950000
2024-05-31,121.847064,12950000
2024-05-30,120.656826,13000000
2024-05-29,119.964144,13000000
2024-05-28,121.583529,13250000
2024-05-24,123.079088,13250000
2024-05-23,122.466927,13250000
2024-05-22,123.886418,13250000
2024-05-21,124.112071,13250000
2024-05-20,124.566118,13200000
2024-05-17,124.361831,13200000
2024-05-16,124.204142,13200000
2024-05-15,125.039255,13200000
2024-05-14,124.15413,13200000
2024-05-13,124.030382,13200000
2024-05-10,124.587917,13200000
2024-05-09,124.21488,13150000
2024-05-08,123.28828,13100000
2024-05-07,123.01764,13050000
2024-05-06,122.417186,13050000
2024-05-03,121.141601,13050000
2024-05-02,120.354967,13050000
2024-05-01,119.577842,13050000
2024-04-30,120.162268,13050000
2024-04-29,122.080954,13050000
2024-04-26,121.5477,13050000
2024-04-25,121.283797,13050000
2024-04-24,121.225228,13050000
2024-04-23,121.919838,13050000
2024-04-22,120.255312,13050000
2024-04-19,119.379514,13000000
2024-04-18,119.334963,13000000
2024-04-17,119.778944,13000000
2024-04-16,120.38446,13000000
2024-04-15,120.731118,13000000
2024-04-12,121.774343,13000000
2024-04-11,123.174439,13000000
2024-04-10,123.045398,12700000
2024-04-09,124.479581,12700000
2024-04-08,124.829646,12700000
2024-04-05,124.721247,12700000
2024-04-04,123.125627,12700000
2024-04-03,124.343231,12650000
2024-04-02,123.92211,12600000
2024-04-01,124.570212,12550000
2024-03-31,125.698609,12550000
2024-03-29,125.698609,12550000
2024-03-28,125.698609,12500000
2024-03-27,125.307923,12500000
2024-03-26,123.775945,12500000
2024-03-25,123.893325,12500000
2024-03-22,124.581785,12350000
2024-03-21,125.551633,12350000
2024-03-20,125.071196,12350000
2024-03-19,123.64591,12350000
2024-03-18,122.640342,12350000
2024-03-15,122.34871,12150000
2024-03-14,122.482149,12150000
2024-03-13,123.010134,12150000
2024-03-12,122.712608,12150000
2024-03-11,121.868732,12100000
2024-03-08,122.349596,12100000
2024-03-07,122.62536,12100000
2024-03-06,121.72215,12050000
2024-03-05,120.966725,12050000
2024-03-04,121.944756,12050000
2024-03-01,121.79474,12050000
2024-02-29,121.266714,12000000
2024-02-28,121.00561,11950000
2024-02-27,120.542307,11950000
2024-02-26,120.407201,11950000
2024-02-23,120.4961,11950000
2024-02-22,119.77753,11400000
2024-02-21,117.966964,11350000
2024-02-20,117.56176,11350000
2024-02-16,118.30934,11300000
2024-02-15,118.927122,11300000
2024-02-14,117.928205,11300000
2024-02-13,116.459488,11250000
2024-02-12,117.968716,11200000
2024-02-09,117.702955,11200000
2024-02-08,117.374703,11200000
2024-02-07,117.425071,11150000
