date,nav_value,shares
2024-08-30,146.340109,4000000
2024-08-29,145.288892,4000000
2024-08-28,144.493044,3950000
2024-08-27,145.596724,3950000
2024-08-26,145.386908,3950000
2024-08-23,144.571475,4050000
2024-08-22,142.526358,4050000
2024-08-21,143.354791,4050000
2024-08-20,141.476804,4050000
2024-08-19,142.169626,4050000
2024-08-16,141.512226,4100000
2024-08-15,141.228005,4100000
2024-08-14,139.16599,4100000
2024-08-13,139.456633,4100000
2024-08-12,138.03357,4100000
2024-08-09,138.591669,4100000
2024-08-08,138.69602,4100000
2024-08-07,136.173441,4100000
2024-08-06,138.228601,4100000
2024-08-05,137.296681,4150000
2024-08-02,140.542601,4150000
2024-08-01,143.756556,4200000
2024-07-31,144.473578,4250000
2024-07-30,142.628992,4300000
2024-07-29,143.530313,4300000
2024-07-26,143.562279,4300000
2024-07-25,141.505011,4300000
2024-07-24,141.030924,4300000
2024-07-23,142.638211,4300000
2024-07-22,142.762233,4300000
2024-07-19,142.530368,4300000
2024-07-18,143.793166,4200000
2024-07-17,145.725038,4200000
2024-07-16,146.224034,4150000
2024-07-15,143.716574,4150000
2024-07-12,143.98878,4150000
2024-07-11,142.616356,4150000
2024-07-10,140.878862,4150000
2024-07-09,139.281661,4150000
2024-07-08,140.616765,4150000
2024-07-05,140.268223,4150000
2024-07-03,140.210806,4450000
2024-07-02,138.744628,4450000
2024-07-01,138.160049,4450000
2024-06-28,140.129356,4450000
2024-06-27,140.166557,4450000
2024-06-26,140.884753,4500000
2024-06-25,140.768174,4550000
2024-06-24,142.831946,4550000
2024-06-21,142.00271,4550000
2024-06-20,141.806068,4550000
2024-06-18,141.362216,4550000
2024-06-17,140.905143,4550000
2024-06-14,140.147165,4550000
2024-06-13,141.677885,4550000
2024-06-12,142.264552,4550000
2024-06-11,141.996056,4550000
2024-06-10,142.890361,4550000
2024-06-07,143.057662,4550000
2024-06-06,144.15377,4550000
2024-06-05,143.700951,4550000
2024-06-04,142.562727,4550000
2024-06-03,144.874746,4550000
2024-05-31,146.020852,4550000
2024-05-30,144.35701,4550000
2024-05-29,143.329113,4600000
2024-05-28,145.493844,4600000
2024-05-24,145.671017,4600000
2024-05-23,144.538256,4600000
2024-05-22,145.661821,4600000
2024-05-21,147.460801,4600000
2024-05-20,147.750877,4600000
2024-05-17,147.019908,4600000
2024-05-16,145.568094,4600000
2024-05-15,146.132484,4600000
2024-05-14,145.991932,4600000
2024-05-13,145.497411,4600000
2024-05-10,145.289854,4600000
