date,nav_value,shares
2024-08-30,67.271922,9200000
2024-08-29,66.437301,9250000
2024-08-28,66.254909,9400000
2024-08-27,66.296007,9400000
2024-08-26,66.496355,9400000
2024-08-23,66.923711,9400000
2024-08-22,65.856067,9400000
2024-08-21,66.20873,9050000
2024-08-20,65.807917,9200000
2024-08-19,66.29219,9200000
2024-08-16,65.516334,9200000
2024-08-15,65.49057,9200000
2024-08-14,64.38087,9250000
2024-08-13,64.133938,9050000
2024-08-12,63.374815,9250000
2024-08-09,63.661039,9950000
2024-08-08,64.18343,10000000
2024-08-07,62.479516,10300000
2024-08-06,63.021156,10300000
2024-08-05,61.319494,10400000
2024-08-02,62.611363,10200000
2024-08-01,64.52297,10250000
2024-07-31,65.969808,10250000
2024-07-30,65.493819,10100000
2024-07-29,64.946099,10050000
2024-07-26,65.190295,10050000
2024-07-25,65.069748,11150000
2024-07-24,64.470466,11250000
2024-07-23,65.260948,11300000
2024-07-22,66.570489,11400000
2024-07-19,66.322668,11300000
2024-07-18,66.085521,11400000
2024-07-17,67.333136,11450000
2024-07-16,68.861505,11100000
2024-07-15,66.629771,11050000
2024-07-12,65.67339,11100000
2024-07-11,65.507326,11000000
2024-07-10,63.959816000000004,11050000
2024-07-09,63.852356,11150000
2024-07-08,64.394137,11200000
2024-07-05,64.603239,11200000
2024-07-03,65.090532,11250000
2024-07-02,64.822663,11250000
2024-07-01,64.824285,11250000
2024-06-28,65.43908,11200000
2024-06-27,64.496409,11300000
2024-06-26,64.78059,11350000
2024-06-25,64.268847,11350000
2024-06-24,64.70828,11350000
2024-06-21,64.298393,11350000
2024-06-20,64.223908,11350000
2024-06-18,63.760235,11400000
2024-06-17,63.869179,11700000
2024-06-14,63.435116,11700000
2024-06-13,64.062008,11900000
2024-06-12,65.131758,12100000
2024-06-11,64.296259,12100000
2024-06-10,64.847816,12300000
2024-06-07,64.54077,12300000
2024-06-06,64.613622,11900000
2024-06-05,64.226464,11950000
2024-06-04,63.357793,11950000
2024-06-03,63.547865,13600000
2024-05-31,64.161263,13700000
2024-05-30,63.139893,13750000
2024-05-29,62.6817,13950000
2024-05-28,63.285212,13950000
2024-05-24,63.924655,13950000
2024-05-23,63.545477,13950000
2024-05-22,64.605542,13700000
2024-05-21,64.426622,13800000
2024-05-20,65.704279,13700000
2024-05-17,66.140904,13750000
2024-05-16,66.455618,13750000
2024-05-15,66.624182,13700000
2024-05-14,66.329417,13600000
2024-05-13,66.624977,13600000
2024-05-10,66.62674,13600000
2024-05-09,66.513719,13650000
2024-05-08,66.030133,13700000
2024-05-07,66.371556,14050000
2024-05-06,66.447807,13800000
2024-05-03,65.864486,13850000
2024-05-02,65.441743,13150000
2024-05-01,64.349753,13400000
2024-04-30,64.309343,13400000
2024-04-29,65.583431,13500000
2024-04-26,65.812492,13100000
2024-04-25,66.667257,13200000
2024-04-24,65.792387,13450000
2024-04-23,67.39994,13400000
2024-04-22,66.512381,13400000
2024-04-19,65.841646,13150000
2024-04-18,65.848872,13050000
2024-04-17,65.964371,13300000
2024-04-16,66.668338,13350000
2024-04-15,66.991163,13300000
2024-04-12,67.586239,12850000
2024-04-11,68.622447,13150000
2024-04-10,67.807638,13850000
2024-04-09,69.241092,13850000
2024-04-08,69.01921,13850000
2024-04-05,69.287612,13900000
2024-04-04,68.396277,13950000
2024-04-03,69.314552,14200000
2024-04-02,69.133443,14250000
2024-04-01,69.72713,14050000
2024-03-31,70.404122,14050000
2024-03-29,70.404122,14050000
2024-03-28,70.404122,13950000
2024-03-27,70.029832,14000000
2024-03-26,69.154902,13950000
2024-03-25,70.008887,14400000
2024-03-22,70.495869,14600000
2024-03-21,70.629306,14600000
2024-03-20,69.937134,14500000
2024-03-19,68.559086,14600000
2024-03-18,68.233704,14650000
2024-03-15,68.541134,14650000
2024-03-14,69.114589,14750000
2024-03-13,69.909002,14700000
2024-03-12,70.105545,14700000
2024-03-11,69.98345,14700000
2024-03-08,70.168253,14600000
2024-03-07,70.58929,14600000
2024-03-06,70.162659,14400000
2024-03-05,69.982395,14400000
