date,nav_value,shares
2024-08-30,147.791998,127250000
2024-08-29,146.114509,127250000
2024-08-28,146.643918,127300000
2024-08-27,148.60236,127200000
2024-08-26,147.897854,127200000
2024-08-23,149.45206,127650000
2024-08-22,147.269464,127600000
2024-08-21,150.404786,127600000
2024-08-20,149.489242,127550000
2024-08-19,149.969333,127550000
2024-08-16,147.927962,126850000
2024-08-15,147.747008,126850000
2024-08-14,144.099971,126800000
2024-08-13,143.580417,126600000
2024-08-12,139.631232,126600000
2024-08-09,138.863878,126350000
2024-08-08,137.903403,126650000
2024-08-07,133.150857,126800000
2024-08-06,134.765421,127150000
2024-08-05,133.329749,127150000
2024-08-02,138.106328,127600000
2024-08-01,141.706444,127350000
2024-07-31,146.237575,127400000
2024-07-30,141.356989,127400000
2024-07-29,144.177876,127400000
2024-07-26,144.551696,127450000
2024-07-25,142.872004,127500000
2024-07-24,144.274056,127500000
2024-07-23,150.749576,127100000
2024-07-22,150.964256,126200000
2024-07-19,148.02015,126150000
2024-07-18,149.65841,126250000
2024-07-17,150.292373,126350000
2024-07-16,156.237156,126300000
2024-07-15,156.591309,126300000
2024-07-12,155.944029,126400000
2024-07-11,154.78452,126400000
2024-07-10,158.779456,126350000
2024-07-09,156.596935,126350000
2024-07-08,156.896209,126350000
2024-07-05,156.154888,126450000
2024-07-03,154.759689,125900000
2024-07-02,153.01371,125700000
2024-07-01,152.022024,126000000
2024-06-28,150.502965,132900000
2024-06-27,151.102973,132300000
2024-06-26,150.802421,125250000
2024-06-25,150.370086,124450000
2024-06-24,147.819113,124450000
2024-06-21,150.421639,124900000
2024-06-20,151.271046,124700000
2024-06-18,153.378218,124650000
2024-06-17,152.690627,124450000
2024-06-14,151.064943,124500000
2024-06-13,150.283128,123950000
2024-06-12,149.21639,123900000
2024-06-11,145.922032,123550000
2024-06-10,143.998784,123400000
2024-06-07,143.400475,123350000
2024-06-06,143.244625,123250000
2024-06-05,143.719287,123100000
2024-06-04,139.967643,123100000
2024-06-03,139.652989,123100000
2024-05-31,138.589519,123350000
2024-05-30,138.640931,123350000
2024-05-29,142.347194,123350000
2024-05-28,143.020914,123350000
2024-05-24,141.538559,123350000
2024-05-23,140.182168,123350000
2024-05-22,139.993134,123450000
2024-05-21,139.962544,123450000
2024-05-20,139.704055,123450000
2024-05-17,138.012783,123450000
2024-05-16,138.391315,123500000
2024-05-15,138.728174,123250000
2024-05-14,135.660739,123250000
2024-05-13,134.471242,123250000
2024-05-10,133.96917,123200000
2024-05-09,133.488145,123200000
2024-05-08,133.693883,123200000
2024-05-07,133.628755,123050000
2024-05-06,134.2479,122850000
2024-05-03,132.190376,122850000
2024-05-02,128.954956,122900000
2024-05-01,126.97553,122850000
2024-04-30,128.167336,122850000
2024-04-29,131.004526,122850000
2024-04-26,130.975655,122750000
2024-04-25,128.184871,122850000
2024-04-24,128.820082,123250000
2024-04-23,128.558809,123400000
2024-04-22,126.285091,123550000
2024-04-19,124.768576,123450000
2024-04-18,128.389818,123350000
2024-04-17,129.358747,122650000
2024-04-16,131.43412,122850000
2024-04-15,131.166634,122750000
2024-04-12,133.942906,122000000
2024-04-11,136.222928,122000000
2024-04-10,133.408859,121950000
2024-04-09,134.435959,121800000
2024-04-08,134.132684,121800000
2024-04-05,134.385767,121800000
2024-04-04,132.456968,121950000
2024-04-03,134.728941,121750000
2024-04-02,134.444585,121800000
2024-04-01,135.602804,121850000
2024-03-31,135.093371,121850000
2024-03-29,135.093371,121850000
2024-03-28,135.093371,121800000
2024-03-27,135.34734,121650000
2024-03-26,135.161324,122050000
2024-03-25,135.928581,121850000
2024-03-22,136.645835,121550000
2024-03-21,136.114866,121550000
2024-03-20,135.798401,121000000
2024-03-19,134.149283,120750000
2024-03-18,133.54704,120850000
