date,nav_value,shares
2024-08-30,137.235299,14800000
2024-08-29,135.874378,14800000
2024-08-28,135.802975,14800000
2024-08-27,136.645602,14800000
2024-08-26,136.460045,14800000
2024-08-23,136.896813,14800000
2024-08-22,135.216586,14800000
2024-08-21,136.448777,14800000
2024-08-20,135.761557,14800000
2024-08-19,136.105204,14800000
2024-08-16,134.778879,14800000
2024-08-15,134.494174,14800000
2024-08-14,132.274824,14800000
2024-08-13,131.799766,14800000
2024-08-12,129.598251,14800000
2024-08-09,129.659897,14800000
2024-08-08,129.070752,14800000
2024-08-07,126.115085,14800000
2024-08-06,127.107895,14800000
2024-08-05,125.808731,14850000
2024-08-02,129.667913,14850000
2024-08-01,132.241018,14850000
2024-07-31,134.19178,14850000
2024-07-30,132.187754,14850000
2024-07-29,132.795213,14850000
2024-07-26,132.719514,14850000
2024-07-25,131.210895,14850000
2024-07-24,131.718137,14850000
2024-07-23,134.873626,14850000
2024-07-22,135.044679,14850000
2024-07-19,133.586815,14850000
2024-07-18,134.483886,14850000
2024-07-17,135.602779,14850000
2024-07-16,137.566445,14850000
2024-07-15,136.514264,14850000
2024-07-12,136.057221,14850000
2024-07-11,135.258778,14850000
2024-07-10,136.149018,14850000
2024-07-09,134.788504,14850000
2024-07-08,134.765407,14850000
2024-07-05,134.616937,14850000
2024-07-03,133.960672,14850000
2024-07-02,133.302758,14850000
2024-07-01,132.51776,14850000
2024-06-28,132.253706,14850000
2024-06-27,132.713506,14850000
2024-06-26,132.525742,14850000
2024-06-25,132.354684,14850000
2024-06-24,131.924911,14850000
2024-06-21,132.255469,14850000
2024-06-20,132.409004,14850000
2024-06-18,132.741698,14850000
2024-06-17,132.406767,14850000
2024-06-14,131.390496,14850000
2024-06-13,131.514856,14850000
2024-06-12,131.341917,14850000
2024-06-11,130.174141,14850000
2024-06-10,130.189116,14900000
2024-06-07,129.795528,14900000
2024-06-06,129.998976,14900000
2024-06-05,130.049751,14900000
2024-06-04,128.499972,14900000
2024-06-03,128.423066,14900000
2024-05-31,128.340071,14900000
2024-05-30,127.397402,14900000
2024-05-29,128.089319,14900000
2024-05-28,129.074187,14900000
2024-05-24,129.122845,14900000
2024-05-23,128.206878,14900000
2024-05-22,129.238387,14900000
2024-05-21,129.630833,14900000
2024-05-20,129.384188,14900000
2024-05-17,129.225749,14900000
2024-05-16,129.06411,14900000
2024-05-15,129.37733,14900000
2024-05-14,127.846534,14900000
2024-05-13,127.161022,14900000
2024-05-10,127.183128,14900000
2024-05-09,126.995359,14900000
2024-05-08,126.299201,14900000
2024-05-07,126.349492,14900000
2024-05-06,126.238885,14900000
2024-05-03,124.88309,14900000
2024-05-02,123.387496,14900000
2024-05-01,122.200065,14900000
2024-04-30,122.559435,14900000
2024-04-29,124.575371,14900000
2024-04-26,124.163711,14900000
2024-04-25,122.943668,14900000
2024-04-24,123.496841,14900000
2024-04-23,123.48539,14900000
2024-04-22,121.961939,14900000
2024-04-19,120.889598,14900000
2024-04-18,121.902036,14900000
2024-04-17,122.15908400000001,14900000
2024-04-16,122.899015,14900000
2024-04-15,123.168113,14900000
2024-04-12,124.739154,14900000
2024-04-11,126.62535,14900000
2024-04-10,125.730513,14900000
2024-04-09,127.006581,14900000
2024-04-08,126.805125,14900000
2024-04-05,126.797006,14900000
2024-04-04,125.418533,14900000
2024-04-03,126.955706,14900000
2024-04-02,126.784183,14900000
2024-04-01,127.775085,15000000
2024-03-31,128.096698,15000000
