date,nav_value,shares
2024-08-30,23.540944,9900000
2024-08-29,23.438232,9900000
2024-08-28,23.39332,9900000
2024-08-27,23.598834,9900000
2024-08-26,23.658657,9900000
2024-08-23,23.518455,9900000
2024-08-22,22.991445,9900000
2024-08-21,23.218546,9850000
2024-08-20,23.171664,9850000
2024-08-19,23.163481,9850000
2024-08-16,22.913437,9850000
2024-08-15,22.824021,9750000
2024-08-14,22.322355,9750000
2024-08-13,22.357487,9750000
2024-08-12,22.071578,9800000
2024-08-09,22.264304,9750000
2024-08-08,22.305704,9650000
2024-08-07,21.833931,9650000
2024-08-06,21.912174,9650000
2024-08-05,21.728955,9650000
2024-08-02,22.364744,9650000
2024-08-01,22.740203,9650000
2024-07-31,23.076595,9500000
2024-07-30,22.722659,10500000
2024-07-29,22.731924,9950000
2024-07-26,22.549193,9550000
2024-07-25,21.924961,8950000
2024-07-24,21.785359,9600000
2024-07-23,22.029856,9600000
2024-07-22,22.038748,9900000
2024-07-19,22.309069,9900000
2024-07-18,22.506032,9900000
2024-07-17,22.761938,9300000
2024-07-16,22.630114,9850000
2024-07-15,22.312856,9850000
2024-07-12,22.21829,9850000
2024-07-11,21.968287,9650000
2024-07-10,21.727869,9700000
2024-07-09,21.660699,9700000
2024-07-08,21.697893,9650000
2024-07-05,21.74939,9650000
2024-07-03,21.751799,9600000
2024-07-02,21.747982,9850000
2024-07-01,21.755085,9850000
2024-06-28,21.729514,9950000
2024-06-27,21.504031,9800000
2024-06-26,21.356486,9850000
2024-06-25,21.286268,9850000
2024-06-24,21.270087,9850000
2024-06-21,21.314577,9950000
2024-06-20,21.066336,9900000
2024-06-18,20.955332,9600000
2024-06-17,21.024388,9550000
2024-06-14,20.869386,9600000
2024-06-13,20.963186,9600000
2024-06-12,20.990225,9600000
2024-06-11,21.101918,9600000
2024-06-10,21.270316,10100000
2024-06-07,21.39988,10100000
2024-06-06,21.583826,10200000
2024-06-05,21.607915,10200000
2024-06-04,21.653946,10200000
2024-06-03,21.593965,10150000
2024-05-31,21.684648,10100000
2024-05-30,21.341947,10150000
2024-05-29,21.033165,10150000
2024-05-28,21.137936,10150000
2024-05-24,21.227155,10150000
2024-05-23,21.07139,10100000
2024-05-22,21.467228,10150000
2024-05-21,21.596595,10200000
2024-05-20,21.755796,10050000
2024-05-17,21.810544,10050000
2024-05-16,21.798677,10050000
2024-05-15,21.835094,10050000
2024-05-14,21.746639,10100000
2024-05-13,21.613288,10050000
2024-05-10,21.452357,10050000
2024-05-09,21.174376,10050000
2024-05-08,21.179456,10050000
2024-05-07,20.983267,10050000
2024-05-06,21.055064,10050000
2024-05-03,20.901292,10450000
2024-05-02,20.73302,10450000
2024-05-01,20.640649,10450000
2024-04-30,20.575484,10450000
2024-04-29,20.910001,10450000
2024-04-26,20.705987,10450000
2024-04-25,20.611982,10700000
2024-04-24,20.871382,10800000
2024-04-23,20.874599,10900000
2024-04-22,20.590918,10900000
2024-04-19,20.686555,10900000
2024-04-18,20.594106,10850000
2024-04-17,20.445759,10850000
2024-04-16,20.510766,10850000
2024-04-15,20.591455,10850000
2024-04-12,20.721174,10850000
2024-04-11,21.212106,10800000
2024-04-10,21.080734,10650000
2024-04-09,21.511051,11400000
2024-04-08,21.3249,10950000
2024-04-05,21.254615,10850000
2024-04-04,21.337304,10900000
2024-04-03,21.609209,10900000
2024-04-02,21.588413,10500000
2024-04-01,21.846244,10500000
2024-03-31,21.981811,10500000
2024-03-29,21.981811,10500000
2024-03-28,21.981811,10500000
2024-03-27,21.956796,10450000
2024-03-26,21.670683,10350000
2024-03-25,21.803519,10300000
2024-03-22,21.743625,10300000
2024-03-21,21.849858,10650000
2024-03-20,21.911161,10600000
2024-03-19,21.705552,10750000
2024-03-18,21.743901,11250000
2024-03-15,21.608285,10500000
2024-03-14,21.749501,10500000
2024-03-13,22.067099,10600000
2024-03-12,22.064556,10600000
2024-03-11,22.155371,10950000
2024-03-08,21.905531,11050000
2024-03-07,21.81437,11050000
2024-03-06,22.019638,10650000
2024-03-05,22.020506,10650000
2024-03-04,22.013198,11550000
2024-03-01,22.178775,12300000
2024-02-29,21.970245,10800000
2024-02-28,21.810581,10800000
2024-02-27,21.89513,9550000
2024-02-26,21.835855,10950000
2024-02-23,21.87281,10650000
2024-02-22,21.97677,11300000
2024-02-21,21.864379,11300000
2024-02-20,21.871217,11650000
2024-02-16,21.947927,11800000
2024-02-15,22.26784,11750000
2024-02-14,22.315915,12000000
2024-02-13,22.120834,12200000
2024-02-12,22.63923,11050000
2024-02-09,22.425957,11300000
2024-02-08,22.218454,11050000
2024-02-07,22.579709,11400000
2024-02-06,22.964513,11200000
2024-02-05,22.941431,11200000
2024-02-02,23.226981,11600000
2024-02-01,23.693799,11250000
2024-01-31,23.48708,11450000
2024-01-30,23.875522,11750000
2024-01-29,23.913967,11750000
2024-01-26,23.781156,11850000
2024-01-25,23.641491,11850000
2024-01-24,23.243396,11900000
2024-01-23,23.53314,11950000
2024-01-22,23.258621,11950000
2024-01-19,23.029066,12000000
2024-01-18,22.751909,12000000
2024-01-17,22.544067,12100000
2024-01-16,22.807851,12100000
2024-01-12,22.735794,12100000
2024-01-11,22.721218,12000000
2024-01-10,22.977873,12200000
2024-01-09,22.888609,12350000
2024-01-08,22.938165,11550000
2024-01-05,22.630074,12250000
2024-01-04,22.519431,12300000
2024-01-03,22.64565,12400000
2024-01-02,22.850896,12300000
2023-12-29,22.757027,12400000
2023-12-28,22.817174,12300000
2023-12-27,22.640248,12150000
2023-12-26,22.599912,11650000
2023-12-22,22.416578,11850000
2023-12-21,22.290756,11900000
2023-12-20,22.117845,11750000
2023-12-19,22.539078,11550000
2023-12-18,22.414237,10800000
2023-12-15,22.398196,10900000
2023-12-14,22.576182,10850000
2023-12-13,22.209197,11250000
2023-12-12,21.921088,11400000
2023-12-11,22.038641,11450000
2023-12-08,21.96422,11400000
2023-12-07,21.883758,11450000
2023-12-06,21.604441,11500000
2023-12-05,21.63547,11450000
2023-12-04,22.003683,11350000
2023-12-01,21.901448,11350000
2023-11-30,21.647784,11400000
2023-11-29,21.544124,11400000
2023-11-28,21.444513,11300000
2023-11-27,21.403641,11300000
2023-11-24,21.487564,11300000
2023-11-22,21.385356,11300000
2023-11-21,21.30848,11400000
2023-11-20,21.444608,11350000
2023-11-17,21.220737,11750000
2023-11-16,21.14174,11700000
2023-11-15,21.68122,11700000
2023-11-14,21.48397,11700000
2023-11-13,20.966877,11600000
2023-11-10,21.063114,11600000
2023-11-09,20.924738,11600000
2023-11-08,21.216017,11550000
2023-11-07,21.316112,11500000
2023-11-06,21.339947,11500000
2023-11-03,21.743963,11500000
2023-11-02,21.364594,11500000
2023-11-01,20.774227,11550000
2023-10-31,20.707059,11750000
2023-10-30,20.304758,11750000
2023-10-27,19.884475,11700000
2023-10-26,20.147678,11650000
2023-10-25,20.535395,11750000
2023-10-24,20.946376,11750000
2023-10-23,20.484883,11900000
2023-10-20,20.741813,11900000
2023-10-19,20.917185,11900000
2023-10-18,21.119192,11950000
2023-10-17,21.354557,11950000
2023-10-16,21.254407,11900000
2023-10-13,20.912979,11950000
2023-10-12,20.972927,11950000
2023-10-11,21.108439,12100000
2023-10-10,21.21639,12100000
2023-10-09,21.081973,12100000
2023-10-06,20.789562,12100000
2023-10-05,20.700928,12100000
2023-10-04,20.781915,12200000
2023-10-03,20.864172,12250000
2023-10-02,21.162317,12250000
2023-09-29,21.297069,12450000
2023-09-28,21.30665,12450000
2023-09-27,21.070967,12600000
2023-09-26,21.059967,12650000
2023-09-25,21.536165,12700000
2023-09-22,21.701626,12700000
2023-09-21,21.799371,12700000
2023-09-20,22.176206,12950000
2023-09-19,22.283224,12900000
2023-09-18,22.285419,12900000
2023-09-15,22.246536,13150000
2023-09-14,22.490942,13150000
2023-09-13,22.152698,13250000
2023-09-12,22.214037,13250000
2023-09-11,22.325215,13250000
2023-09-08,22.242267,13250000
2023-09-07,22.226334,13400000
2023-09-06,22.503663,13350000
2023-09-05,22.423665,13300000
2023-09-01,22.747838,13250000
2023-08-31,22.847269,13350000
2023-08-30,22.619291,13200000
2023-08-29,22.602457,13250000
2023-08-28,22.115659,13250000
2023-08-25,21.926265,13300000
2023-08-24,21.78912,13750000
2023-08-23,22.070908,13550000
2023-08-22,21.955561,13450000
2023-08-21,21.970311,13550000
2023-08-18,21.972012,13050000
2023-08-17,22.052729,13150000
2023-08-16,22.024474,13150000
2023-08-15,22.355479,13100000
2023-08-14,22.489804,13000000
2023-08-11,22.424828,13050000
2023-08-10,22.347659,13050000
2023-08-09,22.180703,12950000
2023-08-08,22.306787,12950000
2023-08-07,22.214197,12950000
2023-08-04,22.101594,12800000
2023-08-03,22.300035,12800000
2023-08-02,22.344443,12450000
2023-08-01,22.525,12400000
2023-07-31,22.413812,13150000
2023-07-28,22.234991,13000000
2023-07-27,22.108001,13000000
2023-07-26,22.076747,13550000
2023-07-25,22.285234,14450000
2023-07-24,22.329226,16600000
2023-07-21,22.208756,16500000
2023-07-20,22.210393,16400000
2023-07-19,22.086449,12200000
2023-07-18,21.448152,12200000
2023-07-17,21.182795,12450000
2023-07-14,21.488515,11950000
2023-07-13,22.081955,11100000
2023-07-12,22.217089,11050000
2023-07-11,22.339105,3600000
2023-07-10,22.04416,12000000
2023-07-07,22.06165,12000000
2023-07-06,21.975989,11900000
2023-07-05,22.152386,11750000
2023-07-03,22.178444,12100000
2023-06-30,22.109545,11950000
2023-06-29,21.95135,12050000
2023-06-28,21.828089,12150000
2023-06-27,21.758499,11450000
2023-06-26,21.2733,11400000
2023-06-23,21.040724,12350000
