date,nav_value,shares,Non-FV NAV
2024-08-30,77.072821,2250000,76.80612
2024-08-29,76.570923,2250000,76.415994
2024-08-28,76.302599,2250000,76.778256
2024-08-27,76.642957,2250000,76.637057
2024-08-26,75.8706,2250000,76.173202
2024-08-23,76.681061,2250000,76.334028
2024-08-22,75.123818,2250000,75.381614
2024-08-21,75.626567,2250000,75.471293
2024-08-20,74.685408,2250000,75.679769
2024-08-19,75.213711,2100000,74.5183
2024-08-16,73.991889,2100000,74.767538
2024-08-15,73.598243,2100000,72.003665
2024-08-14,71.982335,2100000,72.525762
2024-08-13,72.086851,2100000,71.713033
2024-08-12,70.251928,2100000,69.231217
2024-08-09,70.02285,2100000,69.846709
2024-08-08,70.37032,1950000,68.938375
2024-08-07,68.810444,1950000,69.683676
2024-08-06,68.169001,1950000,69.381713
2024-08-05,67.538257,1950000,64.253063
2024-08-02,69.516494,1950000,71.289434
2024-08-01,72.420117,1950000,74.286325
2024-07-31,76.109727,1800000,76.533945
2024-07-30,73.367046,1500000,73.403007
2024-07-29,73.578467,1500000,73.784596
2024-07-26,73.143077,1350000,72.397679
2024-07-25,72.324341,1200000,72.5438
2024-07-24,73.247163,1200000,75.138165
2024-07-23,74.903128,1200000,74.891207
2024-07-22,74.864562,1200000,74.351893
2024-07-19,74.376838,1200000,75.037056
2024-07-18,75.082361,1200000,75.516236
2024-07-17,75.701422,1200000,76.904234
2024-07-16,76.100814,1200000,75.582229
2024-07-15,75.381314,1200000,75.610967
2024-07-12,75.594099,1200000,75.688673
2024-07-11,75.095864,1200000,76.395855
2024-07-10,75.28468,1200000,74.423017
2024-07-09,74.159009,1200000,74.187912
2024-07-08,73.840277,1200000,73.79598
2024-07-05,74.306265,1200000,74.029052
2024-07-03,73.528338,1200000,73.434399
2024-07-02,73.142855,1200000,72.889179
2024-07-01,71.838706,1200000,71.894685
2024-06-28,72.132563,1200000,71.852636
2024-06-27,71.820086,1200000,71.503112
2024-06-26,71.290022,1200000,71.740428
2024-06-25,71.872246,1200000,71.713346
2024-06-24,70.455892,1200000,70.533352
2024-06-21,70.06417,1200000,70.229215
2024-06-20,70.463605,1200000,70.633285
2024-06-18,71.069839,1200000,70.746283
2024-06-17,70.965229,1200000,70.368649
2024-06-14,71.33205,1200000,71.799324
2024-06-13,71.371493,1200000,71.652357
2024-06-12,72.643285,1200000,72.734062
2024-06-11,72.284816,1200000,72.527858
2024-06-10,73.613926,1200000,73.446708
2024-06-07,72.799327,1200000,72.772358
2024-06-06,73.155721,1200000,73.163131
2024-06-05,73.661244,1200000,72.791709
2024-06-04,73.903619,1200000,74.522892
2024-06-03,73.690013,1200000,74.180246
2024-05-31,73.080586,1200000,72.954454
2024-05-30,72.184898,1200000,72.005299
2024-05-29,71.646247,1200000,72.082168
2024-05-28,72.998554,1200000,73.059843
2024-05-24,72.596711,1200000,72.347372
2024-05-23,71.865985,1200000,72.673508
2024-05-22,72.244838,1200000,72.379238
2024-05-21,73.024497,1200000,73.264193
2024-05-20,73.685712,1200000,73.419992
2024-05-17,72.945167,1200000,73.120717
2024-05-16,72.446963,1200000,73.036005
2024-05-15,73.182076,1200000,72.624832
2024-05-14,72.456129,1200000,72.070619
2024-05-13,72.000325,1200000,72.100921
2024-05-10,72.291589,1200000,72.304242
2024-05-09,72.550324,1200000,71.91837
2024-05-08,72.026082,1200000,71.68899
2024-05-07,73.18734,1200000,73.386919
2024-05-06,74.121694,1200000,73.079539
2024-05-03,73.768212,1200000,73.582018
2024-05-02,72.831029,1200000,73.017253
2024-05-01,71.015267,1200000,71.343852
2024-04-30,71.281131,1200000,71.823342
2024-04-29,71.427978,1200000,70.520967
2024-04-26,70.648501,1200000,70.255035
2024-04-25,70.39168,1200000,70.412777
2024-04-24,71.353811,1200000,71.876982
2024-04-23,71.19215,1200000,70.67875
2024-04-22,70.901718,1200000,70.598212
2024-04-19,69.660673,1200000,69.692198
2024-04-18,70.605831,1200000,71.053002
2024-04-17,70.55591,1200000,70.748845
2024-04-16,71.62153,1200000,71.652503
2024-04-15,72.454493,1200000,73.199285
2024-04-12,72.799304,1200000,74.078271
2024-04-11,73.796506,1200000,73.539303
2024-04-10,73.078613,1200000,73.665741
2024-04-09,74.275799,1200000,74.632633
2024-04-08,73.951448,1200000,73.815796
2024-04-05,73.683336,1200000,73.24765
2024-04-04,73.062253,1200000,74.022274
2024-04-03,74.0851,1200000,73.239999
2024-04-02,73.319301,1200000,73.632306
2024-04-01,73.889878,1200000,73.664206
2024-03-31,74.864743,1200000,--
2024-03-29,74.864743,1200000,--
2024-03-28,74.864743,1200000,74.617773
2024-03-27,75.05335,1200000,75.218995
2024-03-26,74.612901,1200000,74.566105
2024-03-25,74.357055,1200000,74.537972
2024-03-22,75.3458,1200000,75.611252
2024-03-21,75.42163,1200000,75.122128
2024-03-20,74.943012,1200000,73.823405
2024-03-19,74.322345,1200000,74.28261
2024-03-18,74.103049,1200000,74.297424
2024-03-15,72.990574,1200000,72.776615
2024-03-14,72.483453,1200000,72.998638
2024-03-13,72.646114,1200000,72.867152
2024-03-12,73.585219,1200000,73.122317
2024-03-11,73.119682,1200000,73.855977
2024-03-08,74.410442,1200000,75.458117
2024-03-07,74.861049,1200000,74.619563
2024-03-06,74.680205,1200000,74.384914
2024-03-05,73.347334,1200000,73.858768
2024-03-04,73.270559,1200000,73.275364
2024-03-01,73.818098,1200000,73.435811
