date,nav_value,shares
2024-08-30,271.420058,49600000
2024-08-29,268.573949,49650000
2024-08-28,269.085563,49650000
2024-08-27,271.016443,49700000
2024-08-26,270.546436,49650000
2024-08-23,271.50535,49650000
2024-08-22,268.318104,49650000
2024-08-21,271.348475,49650000
2024-08-20,270.604864,49650000
2024-08-19,270.914639,49650000
2024-08-16,268.009275,49700000
2024-08-15,267.250391,49550000
2024-08-14,262.590336,49500000
2024-08-13,261.618086,49450000
2024-08-12,256.612227,49500000
2024-08-09,256.142817,49550000
2024-08-08,254.703758,49600000
2024-08-07,248.760835,49600000
2024-08-06,250.710829,49550000
2024-08-05,248.44251,49400000
2024-08-02,257.012309,49200000
2024-08-01,261.732898,49050000
2024-07-31,265.505389,49000000
2024-07-30,260.532749,49000000
2024-07-29,262.544253,49000000
2024-07-26,262.399285,49000000
2024-07-25,259.714376,49100000
2024-07-24,261.48204,49100000
2024-07-23,268.652029,49100000
2024-07-22,268.795842,49100000
2024-07-19,265.936594,49050000
2024-07-18,267.978201,49050000
2024-07-17,270.076821,49150000
2024-07-16,274.151769,49100000
2024-07-15,273.360717,49050000
2024-07-12,272.314673,49050000
2024-07-11,271.09753,49000000
2024-07-10,275.487466,49000000
2024-07-09,272.560527,48950000
2024-07-08,272.036644,48950000
2024-07-05,271.758824,48950000
2024-07-03,269.599033,48950000
2024-07-02,267.790104,48950000
2024-07-01,266.000547,48900000
2024-06-28,264.150731,48850000
2024-06-27,265.723737,48950000
2024-06-26,265.50315,48950000
2024-06-25,264.281828,48950000
2024-06-24,262.38478,48900000
2024-06-21,263.845666,48850000
2024-06-20,264.429129,48800000
2024-06-18,265.174598,48800000
2024-06-17,264.735024,48650000
2024-06-14,262.793952,48650000
2024-06-13,262.125784,48750000
2024-06-12,261.004199,48700000
2024-06-11,258.701522,48650000
2024-06-10,258.109961,48600000
2024-06-07,257.616827,48600000
2024-06-06,257.630918,48650000
2024-06-05,257.400813,48650000
2024-06-04,254.128439,48650000
2024-06-03,253.332862,48550000
2024-05-31,252.232865,48550000
2024-05-30,250.583277,48450000
2024-05-29,252.973123,48450000
2024-05-28,254.349466,48400000
2024-05-24,253.343436,48400000
2024-05-23,251.552859,48400000
2024-05-22,252.815928,48350000
2024-05-21,253.605285,48300000
2024-05-20,252.606197,48250000
2024-05-17,252.278474,48250000
2024-05-16,252.041028,48250000
2024-05-15,252.482153,48250000
2024-05-14,249.44289,48200000
2024-05-13,248.062806,48200000
2024-05-10,247.840365,48200000
2024-05-09,247.459548,48150000
2024-05-08,246.550641,48100000
2024-05-07,246.382992,48100000
2024-05-06,246.302659,47850000
2024-05-03,243.634638,47800000
2024-05-02,240.079505,47650000
2024-05-01,237.64887,47650000
2024-04-30,238.344752,47650000
2024-04-29,242.142808,47650000
2024-04-26,241.576731,47650000
2024-04-25,238.190678,47700000
2024-04-24,239.806921,47700000
2024-04-23,239.90882,47650000
2024-04-22,236.806686,47650000
2024-04-19,234.619852,47600000
2024-04-18,237.595666,47600000
2024-04-17,238.067633,47450000
2024-04-16,239.496934,47450000
2024-04-15,239.846615,47350000
2024-04-12,242.996407,47350000
2024-04-11,246.453822,47300000
2024-04-10,243.834306,47300000
2024-04-09,245.552076,47300000
2024-04-08,245.286182,47300000
2024-04-05,245.552567,47300000
2024-04-04,242.669039,47300000
2024-04-03,245.808253,47250000
2024-04-02,245.653777,47250000
2024-04-01,247.273582,47250000
2024-03-31,247.450823,47250000
2024-03-29,247.450823,47250000
2024-03-28,247.450823,47350000
2024-03-27,247.449063,47400000
2024-03-26,245.800511,47400000
2024-03-25,246.700107,47400000
2024-03-22,247.497868,47400000
2024-03-21,247.328733,47400000
2024-03-20,247.939692,47400000
2024-03-19,245.555194,47450000
2024-03-18,244.1958,47400000
2024-03-15,242.250859,47450000
2024-03-14,244.316564,47450000
2024-03-13,244.447491,47500000
2024-03-12,245.019016,47500000
2024-03-11,241.569434,47500000
2024-03-08,241.952306,47500000
2024-03-07,243.955177,47500000
2024-03-06,241.188421,47200000
2024-03-05,240.113951,47200000
2024-03-04,242.80872,47200000
2024-03-01,243.493717,47150000
2024-02-29,241.474648,47150000
2024-02-28,239.997796,47150000
2024-02-27,240.522846,47100000
2024-02-26,240.291436,47050000
2024-02-23,241.42161,47050000
2024-02-22,241.555172,47050000
2024-02-21,235.672119,46950000
2024-02-20,235.372652,47000000
2024-02-16,237.031122,46900000
2024-02-15,238.197657,46950000
2024-02-14,237.307154,47300000
2024-02-13,235.202618,47300000
2024-02-12,238.238542,47350000
2024-02-09,238.748137,47400000
2024-02-08,237.119035,47400000
2024-02-07,237.194442,47400000
2024-02-06,235.011087,47400000
2024-02-05,234.647499,47600000
2024-02-02,235.038319,47800000
2024-02-01,231.493831,47850000
2024-01-31,228.649043,48100000
2024-01-30,232.866089,48250000
2024-01-29,233.204085,48700000
2024-01-26,231.416836,50050000
2024-01-25,231.554322,56600000
2024-01-24,230.648267,56550000
2024-01-23,229.890724,56550000
2024-01-22,228.899624,56500000
2024-01-19,228.781814,56400000
2024-01-18,225.549347,56250000
2024-01-17,223.365323,56250000
2024-01-16,224.472073,56250000
2024-01-12,225.181224,56500000
2024-01-11,224.918263,56550000
2024-01-10,225.043484,56550000
2024-01-09,223.525254,56500000
2024-01-08,223.533623,56550000
2024-01-05,220.137507,56550000
2024-01-04,219.646234,56550000
2024-01-03,220.547511,56550000
2024-01-02,221.778976,56350000
2023-12-29,223.244619,56350000
2023-12-28,223.868829,56300000
2023-12-27,223.78126,56250000
2023-12-26,223.441497,56250000
2023-12-22,222.659029,56350000
2023-12-21,222.522584,56300000
2023-12-20,220.423812,56200000
2023-12-19,224.140133,56200000
2023-12-18,222.947477,56200000
2023-12-15,221.592284,56200000
2023-12-14,220.928532,56250000
2023-12-13,220.864601,56200000
2023-12-12,218.453248,56100000
2023-12-11,217.31652,56050000
2023-12-08,217.336464,56000000
2023-12-07,216.311051,55850000
2023-12-06,214.169774,55800000
2023-12-05,215.272656,55750000
2023-12-04,214.588979,55700000
2023-12-01,216.162158,55650000
2023-11-30,215.624193,55650000
2023-11-29,215.16554,55550000
2023-11-28,215.671363,55550000
2023-11-27,215.101532,55450000
2023-11-24,215.478733,55350000
2023-11-22,215.602606,55300000
2023-11-21,214.746247,55150000
2023-11-20,215.354151,55000000
2023-11-17,213.569431,54950000
2023-11-16,213.560882,54850000
2023-11-15,212.971905,54800000
2023-11-14,212.519217,54550000
2023-11-13,209.045532,54550000
2023-11-10,209.254143,54500000
2023-11-09,205.803714,54450000
2023-11-08,207.551476,54250000
2023-11-07,207.185725,54050000
2023-11-06,206.142209,54000000
2023-11-03,205.291092,53900000
2023-11-02,203.70256,53400000
2023-11-01,200.147433,53100000
2023-10-31,197.524185,52850000
2023-10-30,196.569733,52650000
2023-10-27,193.698371,52600000
2023-10-26,194.143695,52500000
2023-10-25,197.415654,52450000
2023-10-24,200.462381,52250000
2023-10-23,198.87385,51850000
2023-10-20,198.849089,49850000
2023-10-19,201.363878,42150000
2023-10-18,202.604015,42150000
2023-10-17,205.224209,42150000
2023-10-16,205.642444,42150000
2023-10-13,203.57952,42100000
2023-10-12,204.951753,42100000
2023-10-11,205.744671,42000000
2023-10-10,204.666256,42000000
2023-10-09,203.793547,41950000
2023-10-06,202.660046,41950000
2023-10-05,200.149287,41950000
2023-10-04,200.266852,41950000
2023-10-03,198.552018,41950000
2023-10-02,201.484714,41950000
2023-09-29,200.579723,41950000
2023-09-28,200.890964,42000000
2023-09-27,199.848781,42100000
2023-09-26,199.958144,42100000
2023-09-25,203.72384,42100000
2023-09-22,202.80458,42100000
2023-09-21,203.367384,42100000
2023-09-20,206.626611,42050000
2023-09-19,209.113924,42000000
2023-09-18,209.527972,42000000
2023-09-15,209.337275,42000000
2023-09-14,212.078559,42000000
2023-09-13,210.362077,41950000
2023-09-12,209.694336,41300000
2023-09-11,211.183339,41150000
2023-09-08,209.303813,41150000
2023-09-07,208.781039,41150000
2023-09-06,209.460097,41150000
2023-09-05,211.464717,41100000
2023-09-01,211.721678,41100000
2023-08-31,211.624906,41100000
2023-08-30,211.625281,41050000
2023-08-29,210.756456,41050000
2023-08-28,207.393339,41000000
2023-08-25,206.190877,40950000
2023-08-24,204.763294,40650000
2023-08-23,207.851989,40650000
2023-08-22,205.346308,40550000
2023-08-21,205.933502,40500000
2023-08-18,204.033097,40500000
2023-08-17,204.193021,40500000
2023-08-16,205.623516,40450000
2023-08-15,207.289047,40450000
2023-08-14,209.578742,40450000
2023-08-11,207.904352,40450000
2023-08-10,208.195822,40400000
2023-08-09,207.977891,40400000
2023-08-08,209.998027,40400000
2023-08-07,210.711877,40400000
2023-08-04,208.822349,40400000
2023-08-03,209.744747,40350000
2023-08-02,210.125836,40350000
2023-08-01,213.442156,40350000
2023-07-31,214.068321,40350000
2023-07-28,213.854192,40300000
2023-07-27,211.223154,40300000
2023-07-26,212.285915,40250000
2023-07-25,212.318655,40250000
2023-07-24,211.803369,40200000
2023-07-21,210.708664,40200000
2023-07-20,210.859648,40200000
2023-07-19,212.814193,40350000
2023-07-18,212.331086,40350000
2023-07-17,210.541656,40350000
2023-07-14,209.746359,40350000
2023-07-13,209.746047,41400000
2023-07-12,207.59434,41350000
2023-07-11,205.672518,41300000
2023-07-10,204.521686,41200000
2023-07-07,204.813895,41200000
2023-07-06,205.7362,41150000
2023-07-05,207.361531,41100000
2023-07-03,207.425695,41100000
2023-06-30,207.119876,41100000
2023-06-29,204.418591,41100000
2023-06-28,203.748664,41000000
2023-06-27,203.662112,41000000
2023-06-26,201.384479,41000000
2023-06-23,203.249395,41000000
2023-06-22,204.782493,41000000
2023-06-21,203.426616,40950000
2023-06-20,205.013418,40950000
2023-06-16,205.631995,40950000
2023-06-15,206.607164,40900000
2023-06-14,203.98533,40900000
2023-06-13,203.474668,40900000
2023-06-12,202.328112,41000000
2023-06-09,200.22619,41300000
2023-06-08,199.745508,41250000
2023-06-07,198.063454,41150000
2023-06-06,200.227988,41050000
2023-06-05,199.940909,41050000
2023-06-02,200.311631,41000000
2023-06-01,197.926798,41000000
2023-05-31,195.786986,40950000
2023-05-30,196.846427,40800000
2023-05-26,196.582933,40800000
2023-05-25,193.540131,40800000
2023-05-24,191.083143,40650000
2023-05-23,192.090641,40600000
2023-05-22,194.050382,40500000
2023-05-19,194.039639,40500000
2023-05-18,194.309006,40500000
2023-05-17,192.306603,40550000
2023-05-16,189.950299,40550000
2023-05-15,190.471417,40550000
2023-05-12,190.065865,40300000
2023-05-11,190.575749,40300000
2023-05-10,190.494119,40300000
2023-05-09,189.332294,40350000
