date,nav_value,shares
2024-08-30,231.164663,66150000
2024-08-29,225.246649,66000000
2024-08-28,225.906556,66550000
2024-08-27,230.038852,66350000
2024-08-26,227.444385,66300000
2024-08-23,233.470869,65650000
2024-08-22,227.32328,65250000
2024-08-21,235.442739,65200000
2024-08-20,231.991226,64900000
2024-08-19,235.192756,65100000
2024-08-16,231.164239,64400000
2024-08-15,231.819156,64100000
2024-08-14,221.078566,63200000
2024-08-13,221.740501,61650000
2024-08-12,213.012304,62400000
2024-08-09,211.803535,62900000
2024-08-08,212.97538,62700000
2024-08-07,199.205892,63550000
2024-08-06,205.244564,63150000
2024-08-05,203.270384,62000000
2024-08-02,206.674619,64000000
2024-08-01,218.212471,63700000
2024-07-31,235.273316,61900000
2024-07-30,220.464022,63000000
2024-07-29,228.827057,63550000
2024-07-26,229.234924,63300000
2024-07-25,224.54678,63600000
2024-07-24,229.628507,63150000
2024-07-23,242.490528,63200000
2024-07-22,246.220853,62550000
2024-07-19,236.293541,62250000
2024-07-18,243.795889,61000000
2024-07-17,243.020693,62850000
2024-07-16,261.74626,62150000
2024-07-15,260.133744,62550000
2024-07-12,259.909279,62450000
2024-07-11,256.57802,62400000
2024-07-10,265.5912,62150000
2024-07-09,259.379052,61800000
2024-07-08,259.616992,61450000
2024-07-05,254.793227,61200000
2024-07-03,254.406915,61200000
2024-07-02,250.064876,61250000
2024-07-01,246.707128,61250000
2024-06-28,246.637153,60650000
2024-06-27,244.115341,60500000
2024-06-26,245.407188,60900000
2024-06-25,246.366687,61200000
2024-06-24,242.578418,61950000
2024-06-21,249.648462,62500000
2024-06-20,252.237573,63400000
2024-06-18,259.351683,63450000
2024-06-17,256.065825,62900000
2024-06-14,251.995053,63200000
2024-06-13,253.127165,62750000
2024-06-12,250.299939,62750000
2024-06-11,243.325944,61700000
2024-06-10,243.521053,61200000
2024-06-07,239.987163,61250000
2024-06-06,240.712921,61700000
2024-06-05,242.826333,60850000
2024-06-04,232.572003,60900000
2024-06-03,234.348122,60650000
2024-05-31,233.952645,60950000
2024-05-30,235.976338,60600000
2024-05-29,237.533188,60350000
2024-05-28,242.485789,60400000
2024-05-24,238.554924,60000000
2024-05-23,234.095672,59650000
2024-05-22,235.191318,58750000
2024-05-21,232.490332,59000000
2024-05-20,233.245434,58550000
2024-05-17,228.169901,58200000
2024-05-16,229.454548,58050000
2024-05-15,230.729628,57650000
2024-05-14,224.367908,57550000
2024-05-13,220.698116,57450000
2024-05-10,220.274613,57150000
2024-05-09,218.072434,57250000
2024-05-08,219.036684,58000000
2024-05-07,218.79394,57800000
2024-05-06,220.64903,57900000
2024-05-03,216.201323,58000000
2024-05-02,211.400948,58000000
2024-05-01,206.673864,57700000
2024-04-30,213.938703,57750000
2024-04-29,218.494191,57850000
2024-04-26,216.883937,57700000
2024-04-25,212.39639,57900000
2024-04-24,208.607207,58150000
2024-04-23,205.83094,57800000
2024-04-22,201.60909,57350000
2024-04-19,198.424219,56700000
2024-04-18,206.515387,56600000
2024-04-17,210.224948,57850000
2024-04-16,216.861017,57850000
2024-04-15,215.30492,57600000
2024-04-12,218.013652,57450000
2024-04-11,225.576415,57100000
2024-04-10,220.514922,56900000
2024-04-09,224.576363,56800000
2024-04-08,222.143996,56800000
2024-04-05,221.714329,56800000
2024-04-04,218.988771,56850000
2024-04-03,225.417512,56650000
2024-04-02,224.667441,56500000
2024-04-01,228.295385,56250000
2024-03-31,225.890809,56250000
2024-03-29,225.890809,56250000
2024-03-28,225.890809,57350000
2024-03-27,225.691138,55550000
2024-03-26,222.903648,56700000
2024-03-25,224.473108,56900000
2024-03-22,225.373455,56900000
2024-03-21,225.254534,56600000
2024-03-20,220.440238,56850000
2024-03-19,216.701348,56800000
2024-03-18,218.61946,56900000
2024-03-15,218.843803,57050000
2024-03-14,220.143629,57200000
2024-03-13,224.086322,57500000
2024-03-12,229.858537,56900000
2024-03-11,225.006623,56800000
2024-03-08,228.036129,57750000
2024-03-07,237.689648,55950000
2024-03-06,229.72566,57150000
2024-03-05,224.252618,56550000
2024-03-04,228.767237,56100000
2024-03-03,226.593281,56400000
2024-03-02,226.593281,56400000
2024-03-01,226.593281,56400000
2024-02-29,217.332041,55050000
2024-02-28,211.633871,56100000
2024-02-27,213.932693,57150000
2024-02-26,214.246725,56850000
2024-02-25,212.104032,58350000
2024-02-24,212.104032,58350000
2024-02-23,212.104032,58350000
2024-02-22,214.683258,57000000
2024-02-21,204.407298,57150000
2024-02-20,204.768811,57150000
2024-02-19,208.295972,56850000
2024-02-18,208.295972,56850000
2024-02-17,208.295972,56850000
2024-02-16,208.295972,56850000
2024-02-15,209.558512,56550000
2024-02-14,209.817107,57000000
2024-02-13,205.147954,56250000
2024-02-12,209.416858,56850000
2024-02-11,209.847526,57300000
2024-02-10,209.847526,57300000
2024-02-09,209.847526,57300000
2024-02-08,205.742133,55350000
2024-02-07,202.272025,56250000
2024-02-06,199.1258,56400000
2024-02-05,201.704535,56700000
2024-02-04,198.855231,56700000
2024-02-03,198.855231,56700000
2024-02-02,198.855231,56700000
2024-02-01,196.294508,54750000
2024-01-31,195.420693,56400000
2024-01-30,198.253164,56700000
2024-01-29,201.293604,57000000
2024-01-28,199.111591,57600000
2024-01-27,199.111591,57600000
2024-01-26,199.111591,57600000
2024-01-25,204.764504,55200000
2024-01-24,205.363804,55800000
2024-01-23,202.463458,55950000
2024-01-22,201.172702,55800000
2024-01-21,200.477853,55800000
2024-01-20,200.477853,55800000
2024-01-19,200.477853,55800000
2024-01-18,192.861229,53400000
2024-01-17,186.669222,54900000
2024-01-16,188.415286,55500000
2024-01-15,185.844855,56100000
2024-01-14,185.844855,56100000
2024-01-13,185.844855,56100000
2024-01-12,185.844855,56100000
2024-01-11,186.680946,54000000
2024-01-10,185.897075,54600000
2024-01-09,186.550652,54600000
2024-01-08,186.541212,54900000
2024-01-07,180.660062,54600000
2024-01-06,180.660062,54600000
2024-01-05,180.660062,54600000
2024-01-04,179.55674,53250000
2024-01-03,181.092393,53700000
2024-01-02,185.046712,53250000
2024-01-01,191.944033,53550000
2023-12-31,191.944033,53550000
2023-12-30,191.944033,53550000
2023-12-29,191.944033,53550000
2023-12-28,193.460792,53850000
2023-12-27,193.705276,54450000
2023-12-26,193.321678,54450000
2023-12-25,189.984073,55050000
2023-12-24,189.984073,55050000
2023-12-23,189.984073,55050000
2023-12-22,189.984073,55050000
2023-12-21,189.432953,53250000
2023-12-20,184.291632,53850000
2023-12-19,190.285384,53850000
2023-12-18,189.219423,53850000
2023-12-17,189.837075,54600000
2023-12-16,189.837075,54600000
2023-12-15,189.837075,54600000
2023-12-14,189.037017,52200000
2023-12-13,183.930757,53400000
2023-12-12,181.159566,53400000
2023-12-11,179.80375,53400000
2023-12-10,173.954513,53700000
2023-12-09,173.954513,53700000
2023-12-08,173.954513,53700000
2023-12-07,172.642436,53700000
2023-12-06,168.040763,54000000
2023-12-05,169.142496,54900000
2023-12-04,170.135606,54900000
2023-12-03,172.128833,54600000
2023-12-02,172.128833,54600000
2023-12-01,172.128833,54600000
2023-11-30,171.229357,53700000
2023-11-29,172.404047,54900000
2023-11-28,170.620894,54900000
2023-11-27,171.551665,54900000
2023-11-26,171.946607,55050000
2023-11-25,171.946607,55050000
2023-11-24,171.946607,55050000
2023-11-23,171.683035,54600000
2023-11-22,171.683035,54600000
2023-11-21,171.117849,54750000
2023-11-20,174.41476,54750000
2023-11-19,171.873729,55050000
2023-11-18,171.873729,55050000
2023-11-17,171.873729,55050000
2023-11-16,170.73134,54000000
2023-11-15,170.554063,55950000
2023-11-14,169.315968,56700000
2023-11-13,163.314844,56550000
2023-11-12,164.989627,56400000
2023-11-11,164.989627,56400000
2023-11-10,164.989627,56400000
2023-11-09,158.43515,54600000
2023-11-08,159.30802,54750000
