date,nav_value,shares
2024-04-16,23.270959,72800000
2024-04-15,23.75851,74600000
2024-04-12,23.907353,74600000
2024-04-11,24.382177,74600000
2024-04-10,24.345937,74600000
2024-04-09,24.884222,74600000
2024-04-08,24.759906,75800000
2024-04-05,24.581205,75800000
2024-04-04,24.399007,75800000
2024-04-03,24.544236,75800000
2024-04-02,24.571783,75800000
2024-04-01,24.517262,75800000
2024-03-31,24.644537,75800000
2024-03-29,24.644537,75800000
2024-03-28,24.644537,75800000
2024-03-27,24.682439,76800000
2024-03-26,24.291893,77600000
2024-03-25,24.377023,77600000
2024-03-22,24.253759,77600000
2024-03-21,24.42444,77600000
2024-03-20,24.411638,77600000
2024-03-19,24.099939,79400000
2024-03-18,24.118069,79400000
2024-03-15,24.08255,79400000
2024-03-14,24.144491,81600000
2024-03-13,24.631761,81600000
2024-03-12,24.406897,81600000
2024-03-11,24.415675,80600000
2024-03-08,24.789005,80600000
2024-03-07,24.767034,80600000
2024-03-06,24.376189,80600000
2024-03-05,23.930748,80600000
2024-03-04,24.065783,80600000
2024-03-01,24.207817,81400000
2024-02-29,23.960774,81400000
2024-02-28,23.7379,81400000
2024-02-27,24.001631,81400000
2024-02-26,23.824175,81400000
2024-02-23,23.905947,82200000
2024-02-22,23.836475,82200000
2024-02-21,23.665303,82200000
2024-02-20,23.717,82200000
2024-02-16,23.779402,82200000
2024-02-15,23.746368,82200000
2024-02-14,23.356151,84200000
2024-02-13,22.980508,84200000
2024-02-12,23.654503,84200000
2024-02-09,23.656669,84200000
2024-02-08,23.520277,84200000
2024-02-07,23.54993,84200000
2024-02-06,23.595652,84200000
2024-02-05,23.361885,84200000
2024-02-02,23.613422,84200000
2024-02-01,23.730992,84200000
2024-01-31,23.632261,84200000
2024-01-30,23.798458,85000000
2024-01-29,23.862096,85000000
2024-01-26,23.654774,85000000
2024-01-25,23.605723,85000000
2024-01-24,23.485376,85000000
2024-01-23,23.485053,85000000
2024-01-22,23.279177,85000000
2024-01-19,23.295123,85000000
2024-01-18,23.055643,85000000
2024-01-17,22.850626,88200000
2024-01-16,23.102315,88200000
2024-01-12,23.678126,88200000
2024-01-11,23.647756,88200000
2024-01-10,23.664738,88200000
2024-01-09,23.709428,88200000
2024-01-08,23.95814,88200000
2024-01-05,23.830883,88200000
2024-01-04,23.842923,88200000
2024-01-03,23.928077,88200000
2024-01-02,24.184384,88200000
2023-12-29,24.423342,88200000
2023-12-28,24.446454,88200000
2023-12-27,24.525165,88200000
2023-12-26,24.250326,88200000
2023-12-22,24.106268,88200000
2023-12-21,24.190032,88200000
2023-12-20,23.66948,88400000
2023-12-19,24.508361,88400000
2023-12-18,23.99141,88400000
2023-12-15,23.824756,88400000
2023-12-14,23.991225,89200000
2023-12-13,23.664767,89200000
2023-12-12,22.856213,89200000
2023-12-11,22.817154,89200000
2023-12-08,22.816754,89200000
2023-12-07,22.737099,89200000
2023-12-06,22.527578,89200000
2023-12-05,22.343672,89200000
2023-12-04,22.535062,89200000
2023-12-01,22.93648,90200000
2023-11-30,22.475149,90200000
2023-11-29,22.3939,90200000
2023-11-28,22.544681,90200000
2023-11-27,22.262848,90200000
2023-11-24,22.444078,90200000
2023-11-22,22.241849,90200000
2023-11-21,22.316628,90200000
2023-11-20,22.361888,90200000
2023-11-17,22.220288,90200000
2023-11-16,21.959372,90200000
2023-11-15,22.209717,90200000
2023-11-14,22.19791,90200000
2023-11-13,21.494394,90200000
2023-11-10,21.369503,90200000
2023-11-09,21.382087,90200000
2023-11-08,21.494493,90200000
2023-11-07,21.465723,90200000
2023-11-06,21.68576,90200000
2023-11-03,21.780902,90200000
2023-11-02,21.55688,90200000
2023-11-01,21.106516,90200000
2023-10-31,20.707618,90200000
2023-10-30,20.787038,90200000
2023-10-27,20.564956,90200000
2023-10-26,20.650872,91000000
2023-10-25,20.675506,91000000
2023-10-24,20.929787,91000000
2023-10-23,20.714773,91000000
2023-10-20,20.648361,91800000
2023-10-19,21.010779,91800000
2023-10-18,21.238249,91800000
2023-10-17,21.576501,91800000
2023-10-16,21.476999,91800000
2023-10-13,21.166708,91800000
