date,nav_value,shares
2024-04-16,45.16491,22125000
2024-04-15,45.673307,22125000
2024-04-12,45.558485,22125000
2024-04-11,46.296216,22875000
2024-04-10,46.093835,23125000
2024-04-09,46.731925,23125000
2024-04-08,46.630072,23125000
2024-04-05,46.633465,23125000
2024-04-04,46.960963,23125000
2024-04-03,46.953369,23125000
2024-04-02,46.740006,23125000
2024-04-01,47.322421,23125000
2024-03-31,47.592089,23125000
2024-03-29,47.592089,23125000
2024-03-28,47.592089,23125000
2024-03-27,47.391643,23125000
2024-03-26,47.138063,23125000
2024-03-25,47.271403,23125000
2024-03-22,47.389094,23125000
2024-03-21,47.567618,23500000
2024-03-20,47.989966,23500000
2024-03-19,47.514934,23500000
2024-03-18,47.640108,23500000
2024-03-15,48.273487,24375000
2024-03-14,48.369194,24375000
2024-03-13,48.739708,24375000
2024-03-12,48.741443,24875000
2024-03-11,48.473107,24875000
2024-03-08,48.214957,25625000
2024-03-07,47.980867,25625000
2024-03-06,47.335805,25625000
2024-03-05,46.89206,25625000
2024-03-04,46.967534,25625000
2024-03-01,47.169419,25625000
2024-02-29,46.779009,25625000
2024-02-28,47.028723,25625000
2024-02-27,47.162261,25625000
2024-02-26,47.116746,25625000
2024-02-23,47.381368,25625000
2024-02-22,47.0893,25625000
2024-02-21,47.353714,26000000
2024-02-20,47.21041,26000000
2024-02-16,46.667183,26000000
2024-02-15,46.753909,26000000
2024-02-14,46.25065,26000000
2024-02-13,45.687203,26000000
2024-02-12,46.568272,26000000
2024-02-09,46.295588,26000000
2024-02-08,46.556022,26000000
2024-02-07,46.692121,26000000
2024-02-06,47.166735,26000000
2024-02-05,47.202088,26000000
2024-02-02,47.260224,26000000
2024-02-01,47.846681,26000000
2024-01-31,47.504107,26000000
2024-01-30,48.259733,26000000
2024-01-29,48.285037,26000000
2024-01-26,47.842203,26000000
2024-01-25,47.011195,26000000
2024-01-24,46.832171,26000000
2024-01-23,46.54656,26250000
2024-01-22,47.059944,26500000
2024-01-19,46.701872,26375000
2024-01-18,46.890265,26375000
2024-01-17,46.76306,26375000
2024-01-16,47.284883,26375000
2024-01-12,47.848616,26375000
2024-01-11,47.638739,26375000
2024-01-10,47.966089,26375000
2024-01-09,47.876138,26375000
2024-01-08,48.285648,26375000
2024-01-05,47.762682,26375000
2024-01-04,47.89965,26375000
2024-01-03,47.839453,26375000
2024-01-02,47.874247,26375000
2023-12-29,48.287043,26375000
2023-12-28,47.754211,26375000
2023-12-27,48.074285,26375000
2023-12-26,47.502075,26375000
2023-12-22,47.439942,26375000
2023-12-21,47.377912,26375000
2023-12-20,46.694241,26375000
2023-12-19,47.234355,26375000
2023-12-18,46.936134,26375000
2023-12-15,46.796533,26375000
2023-12-14,47.117123,26375000
2023-12-13,46.952143,26875000
2023-12-12,46.422453,26875000
2023-12-11,46.132954,26875000
2023-12-08,45.918706,26875000
2023-12-07,45.638921,26875000
2023-12-06,45.783446,26875000
2023-12-05,45.642028,26875000
2023-12-04,45.814071,26875000
2023-12-01,45.798437,26875000
2023-11-30,45.43037,26875000
2023-11-29,45.238477,26875000
2023-11-28,44.755898,26875000
2023-11-27,44.917899,26875000
2023-11-24,45.160018,26875000
2023-11-22,44.835118,26875000
2023-11-21,44.718684,26875000
2023-11-20,44.484994,26875000
2023-11-17,44.486484,27125000
2023-11-16,44.051506,27125000
2023-11-15,44.207063,27125000
2023-11-14,44.234028,27125000
2023-11-13,43.060645,27125000
2023-11-10,43.05871,27125000
2023-11-09,43.007517,27125000
2023-11-08,43.127915,27125000
2023-11-07,42.995835,27125000
2023-11-06,43.085952,27125000
2023-11-03,43.113332,27125000
2023-11-02,42.98869,27125000
2023-11-01,42.426418,27125000
2023-10-31,41.932553,27125000
2023-10-30,42.119863,27125000
2023-10-27,41.650658,27125000
2023-10-26,42.009399,27125000
2023-10-25,42.276125,27125000
2023-10-24,42.457855,27125000
2023-10-23,42.231565,27125000
2023-10-20,42.323857,27125000
2023-10-19,42.672699,27125000
2023-10-18,43.152748,27125000
2023-10-17,43.81988,27125000
2023-10-16,44.120142,27125000
2023-10-13,44.101299,27125000
2023-10-12,43.980495,27125000
2023-10-11,44.654054,25375000
2023-10-10,44.215891,25375000
2023-10-09,43.658665,25375000
2023-10-06,43.534253,25625000
2023-10-05,43.210857,25875000
2023-10-04,42.987289,25875000
2023-10-03,42.668545,25875000
2023-10-02,43.180463,25875000
2023-09-29,43.575902,25875000
2023-09-28,43.472819,25875000
2023-09-27,43.104719,26500000
2023-09-26,43.670851,26500000
2023-09-25,44.188325,26500000
2023-09-22,44.310583,26500000
2023-09-21,44.750398,27000000
2023-09-20,45.2831,27000000
2023-09-19,45.165597,27000000
2023-09-18,45.171029,27000000
2023-09-15,45.555239,26625000
2023-09-14,45.369259,26625000
2023-09-13,44.986136,26625000
2023-09-12,45.172798,26625000
2023-09-11,45.266748,26625000
2023-09-08,44.979381,26625000
2023-09-07,45.204686,26625000
2023-09-06,45.082148,26625000
2023-09-05,45.122924,26625000
2023-09-01,45.885438,26625000
2023-08-31,46.096203,26625000
2023-08-30,46.295352,26500000
2023-08-29,46.535036,26500000
2023-08-28,45.849885,26500000
2023-08-25,45.530937,26500000
2023-08-24,45.321791,26500000
2023-08-23,45.816899,26500000
2023-08-22,45.231865,26500000
2023-08-21,45.432055,26875000
2023-08-18,45.084233,26875000
2023-08-17,45.331163,26875000
2023-08-16,45.657445,27250000
2023-08-15,45.813349,27250000
2023-08-14,46.442544,27250000
2023-08-11,46.497901,27250000
2023-08-10,46.614001,27250000
2023-08-09,46.38409,27250000
2023-08-08,46.499798,27250000
2023-08-07,46.816824,27250000
2023-08-04,46.513338,27250000
2023-08-03,46.539831,27250000
2023-08-02,46.801909,27250000
2023-08-01,47.260984,27250000
2023-07-31,47.69252,27250000
2023-07-28,47.798148,27250000
2023-07-27,47.820086,27250000
2023-07-26,47.694281,27250000
2023-07-25,47.621343,27250000
2023-07-24,47.138608,27250000
2023-07-21,47.373226,27250000
2023-07-20,47.362629,27250000
2023-07-19,47.579426,27250000
2023-07-18,47.518413,27250000
2023-07-17,46.972246,27250000
2023-07-14,47.364814,27250000
2023-07-13,47.216094,27250000
2023-07-12,46.592352,27250000
2023-07-11,45.755788,27250000
2023-07-10,45.201586,27000000
2023-07-07,44.837506,27000000
2023-07-06,44.9657,27000000
2023-07-05,45.569835,27000000
2023-07-03,45.837117,27000000
2023-06-30,46.191378,27000000
2023-06-29,45.510197,27000000
2023-06-28,45.657865,27000000
2023-06-27,45.886748,27000000
2023-06-26,45.495445,27000000
2023-06-23,45.605703,26625000
2023-06-22,45.672677,26625000
2023-06-21,45.632381,26625000
2023-06-20,45.651022,26625000
2023-06-16,46.465524,26625000
2023-06-15,46.470792,26625000
2023-06-14,45.808658,26625000
2023-06-13,45.819205,26625000
2023-06-12,45.675209,26625000
2023-06-09,45.685193,26625000
2023-06-08,45.991954,26625000
2023-06-07,45.536727,26125000
2023-06-06,47.19758,26125000
2023-06-05,47.005127,26125000
2023-06-02,47.199457,26125000
2023-06-01,46.681573,26125000
2023-05-31,46.261048,26125000
2023-05-30,46.737125,26125000
2023-05-26,47.331174,26125000
2023-05-25,46.894413,26125000
2023-05-24,46.991354,26125000
2023-05-23,47.506344,26125000
2023-05-22,48.09548,26125000
2023-05-19,48.249874,26125000
2023-05-18,47.734746,25500000
2023-05-17,47.857346,25500000
2023-05-16,48.081293,25500000
2023-05-15,48.523842,25500000
2023-05-12,48.317024,25500000
2023-05-11,48.414723,25500000
2023-05-10,48.35084,25500000
2023-05-09,48.631986,25500000
2023-05-08,48.841682,25500000
2023-05-05,48.728768,25500000
2023-05-04,48.490863,25500000
2023-05-03,48.563129,25500000
2023-05-02,48.08039,25500000
2023-05-01,48.038858,25500000
2023-04-28,48.099102,25500000
2023-04-27,47.805965,25500000
2023-04-26,47.701244,26500000
2023-04-25,48.16058,26875000
2023-04-24,48.455129,26875000
2023-04-21,48.107471,27375000
2023-04-20,47.595761,27375000
2023-04-19,47.305269,27375000
2023-04-18,47.356375,27375000
2023-04-17,47.071568,27375000
2023-04-14,47.282121,27625000
2023-04-13,47.300785,27625000
2023-04-12,46.680669,27625000
2023-04-11,46.354771,28000000
2023-04-10,46.067382,28000000
2023-04-06,46.204455,28000000
2023-04-05,45.698239,28000000
2023-04-04,45.508005,28000000
2023-04-03,45.412978,28250000
2023-03-31,45.402156,28250000
2023-03-30,44.998272,28250000
2023-03-29,44.54468,28250000
2023-03-28,43.864574,28250000
2023-03-27,43.972931,28250000
2023-03-24,43.42442,28250000
2023-03-23,43.519297,28250000
