date,nav_value,shares
2024-04-16,33.089103,78000000
2024-04-15,33.532162,77900000
2024-04-12,33.657138,77900000
2024-04-11,33.983403,77900000
2024-04-10,33.964457,77900000
2024-04-09,34.249399,77700000
2024-04-08,34.111709,77700000
2024-04-05,34.023668,77700000
2024-04-04,33.931085,75900000
2024-04-03,34.038073,75900000
2024-04-02,33.95092,75900000
2024-04-01,33.904895,75900000
2024-03-31,34.069461,75900000
2024-03-29,34.069461,75900000
2024-03-28,34.069461,75900000
2024-03-27,34.117124,75900000
2024-03-26,33.905039,75900000
2024-03-25,33.927335,75900000
2024-03-22,33.909171,75900000
2024-03-21,33.816311,75900000
2024-03-20,33.681179,75900000
2024-03-19,33.422589,75900000
2024-03-18,33.318288,75900000
2024-03-15,33.415854,75900000
2024-03-14,33.546917,75900000
2024-03-13,33.748119,75900000
2024-03-12,33.637235,77700000
2024-03-11,33.376861,77700000
2024-03-08,33.360545,77700000
2024-03-07,33.41659,77700000
2024-03-06,33.036843,77700000
2024-03-05,32.821212,77700000
2024-03-04,32.838289,77700000
2024-03-01,32.922901,78500000
2024-02-29,32.636963,78500000
2024-02-28,32.578269,78500000
2024-02-27,32.923196,78500000
2024-02-26,32.899043,78500000
2024-02-23,32.995613,80200000
2024-02-22,32.876531,80200000
2024-02-21,32.701819,80200000
2024-02-20,32.870595,80200000
2024-02-16,32.68248,80200000
2024-02-15,32.344599,80200000
2024-02-14,32.034816,80200000
2024-02-13,31.73666,80200000
2024-02-12,32.176485,80200000
2024-02-09,32.197467,80200000
2024-02-08,32.307595,80200000
2024-02-07,32.447828,80200000
2024-02-06,32.592009,80200000
2024-02-05,32.158664,80200000
2024-02-02,32.420003,80200000
2024-02-01,32.778656,80200000
2024-01-31,32.381962,80200000
2024-01-30,32.735819,80200000
2024-01-29,32.677761,80200000
2024-01-26,32.597212,81100000
2024-01-25,32.266394,81100000
2024-01-24,32.064303,81100000
2024-01-23,31.98978,81100000
2024-01-22,32.016633,81100000
2024-01-19,31.933739,81100000
2024-01-18,31.932278,81100000
2024-01-17,31.777933,81100000
2024-01-16,32.120178,81700000
2024-01-12,32.748281,81700000
2024-01-11,32.633646,81700000
2024-01-10,32.848303,81700000
2024-01-09,32.814171,81700000
2024-01-08,33.143228,81700000
2024-01-05,32.866153,81700000
2024-01-04,32.844381,81700000
2024-01-03,32.725583,81700000
2024-01-02,32.785952,81700000
2023-12-29,33.084429,81700000
2023-12-28,33.009425,81700000
2023-12-27,33.221774,81700000
2023-12-26,32.922912,81700000
2023-12-22,32.807001,81700000
2023-12-21,32.783059,81700000
2023-12-20,32.437336,80700000
2023-12-19,33.385204,80700000
2023-12-18,33.057658,80700000
2023-12-15,32.896912,80700000
2023-12-14,33.54209,80700000
2023-12-13,32.927846,81700000
2023-12-12,32.568248,81700000
2023-12-11,32.563223,81700000
2023-12-08,32.565543,81700000
2023-12-07,32.490994,81700000
2023-12-06,32.330686,81700000
2023-12-05,32.372049,81700000
2023-12-04,32.656273,81700000
2023-12-01,32.867966,81700000
2023-11-30,32.442367,81700000
2023-11-29,32.373674,81700000
2023-11-28,32.479893,82400000
2023-11-27,32.372196,82400000
2023-11-24,32.43937,83400000
2023-11-22,32.057611,83400000
2023-11-21,32.223351,83400000
2023-11-20,32.161628,83400000
2023-11-17,32.105786,83400000
2023-11-16,31.638805,83400000
2023-11-15,31.794334,83400000
2023-11-14,31.821061,83400000
2023-11-13,31.247297,83400000
2023-11-10,30.998733,83400000
2023-11-09,31.144139,83400000
2023-11-08,31.103846,83400000
2023-11-07,31.163481,83400000
2023-11-06,31.351501,83400000
2023-11-03,31.348951,83400000
2023-11-02,31.210451,83400000
2023-11-01,30.594233,83400000
2023-10-31,30.530371,83400000
2023-10-30,30.567043,83400000
2023-10-27,30.164882,83400000
2023-10-26,30.50183,83400000
2023-10-25,30.716801,83400000
2023-10-24,30.820615,83400000
2023-10-23,30.817299,83400000
2023-10-20,30.795485,83400000
2023-10-19,31.160006,83400000
2023-10-18,31.512445,83400000
2023-10-17,32.075009,83400000
2023-10-16,31.927429,83400000
2023-10-13,31.645397,83400000
2023-10-12,31.869851,83400000
2023-10-11,32.155972,83400000
2023-10-10,32.013208,83400000
2023-10-09,31.48236,83400000
2023-10-06,31.43982,83400000
2023-10-05,31.088746,83400000
2023-10-04,30.840763,83400000
2023-10-03,30.845285,83400000
2023-10-02,31.057522,83400000
2023-09-29,31.613152,83400000
2023-09-28,31.715593,83400000
2023-09-27,31.474185,83400000
2023-09-26,31.607717,83400000
2023-09-25,31.868682,83400000
2023-09-22,32.013213,83400000
2023-09-21,32.086194,83400000
2023-09-20,32.463715,83400000
2023-09-19,32.403592,83400000
2023-09-18,32.310112,83400000
2023-09-15,32.481824,83400000
2023-09-14,32.522263,83400000
2023-09-13,32.019382,83400000
