date,nav_value,shares
2024-04-16,64.949928,30900000
2024-04-15,66.5149,30900000
2024-04-12,67.49918,30900000
2024-04-11,68.617271,30900000
2024-04-10,68.440408,31400000
2024-04-09,69.72275,31400000
2024-04-08,70.581245,31200000
2024-04-05,70.178383,30700000
2024-04-04,69.305041,30600000
2024-04-03,69.052043,30500000
2024-04-02,69.181176,30500000
2024-04-01,68.938933,30500000
2024-03-31,68.997438,30500000
2024-03-29,68.997438,30500000
2024-03-28,68.997438,30500000
2024-03-27,69.002826,30500000
2024-03-26,68.402508,30500000
2024-03-25,67.557093,30500000
2024-03-22,67.43161,30500000
2024-03-21,67.602964,30500000
2024-03-20,67.810985,30300000
2024-03-19,66.010686,30300000
2024-03-18,66.728909,30300000
2024-03-15,67.100462,29800000
2024-03-14,67.175247,29400000
2024-03-13,67.112869,29100000
2024-03-12,65.611922,29100000
2024-03-11,65.800814,29100000
2024-03-08,65.591025,29400000
2024-03-07,65.47472,29400000
2024-03-06,65.768676,29400000
2024-03-05,65.787622,28900000
2024-03-04,65.655839,28900000
2024-03-01,65.554434,29200000
2024-02-29,65.336787,29600000
2024-02-28,64.920387,30000000
2024-02-27,66.134595,30000000
2024-02-26,66.121721,29800000
2024-02-23,66.528784,29500000
2024-02-22,67.143184,29300000
2024-02-21,67.137277,29300000
2024-02-20,67.358359,29500000
2024-02-16,67.227382,29500000
2024-02-15,67.453753,29500000
2024-02-14,67.316795,29300000
2024-02-13,66.546033,29100000
2024-02-12,67.566213,28600000
2024-02-09,67.3837,28600000
2024-02-08,67.532245,28600000
2024-02-07,68.819344,28300000
2024-02-06,68.852277,27600000
2024-02-05,67.480813,27600000
2024-02-02,67.96209,27600000
2024-02-01,67.61174,27100000
2024-01-31,66.668555,27000000
2024-01-30,67.019806,26800000
2024-01-29,66.35967,26500000
2024-01-26,66.399465,26500000
2024-01-25,65.424239,28300000
2024-01-24,64.518053,28300000
2024-01-23,64.382739,28100000
2024-01-22,64.037528,27800000
2024-01-19,65.108681,27800000
2024-01-18,63.854488,27600000
2024-01-17,63.639793,29700000
2024-01-16,64.371968,29000000
2024-01-12,66.275282,29000000
2024-01-11,65.977363,28700000
2024-01-10,65.496363,28700000
2024-01-09,65.317198,29300000
2024-01-08,67.080823,29700000
2024-01-05,66.892372,29200000
2024-01-04,65.379596,29500000
2024-01-03,65.777956,30300000
2024-01-02,67.23098,31100000
2023-12-29,67.931108,31000000
2023-12-28,67.999842,30900000
2023-12-27,68.377683,31000000
2023-12-26,68.284998,30700000
2023-12-22,67.706846,30500000
2023-12-21,67.765659,29900000
2023-12-20,66.626523,29600000
2023-12-19,68.865114,29100000
2023-12-18,68.551673,28600000
2023-12-15,67.646401,28200000
2023-12-14,67.75152,27100000
2023-12-13,65.273193,26200000
